	LARGE_dtc_experiment_code_MEMORY_py_0_csv	LARGE_dtc_experiment_code_MEMORY_py_10_csv	LARGE_dtc_experiment_code_MEMORY_py_11_csv	LARGE_dtc_experiment_code_MEMORY_py_12_csv	LARGE_dtc_experiment_code_MEMORY_py_13_csv	LARGE_dtc_experiment_code_MEMORY_py_14_csv	LARGE_dtc_experiment_code_MEMORY_py_15_csv	LARGE_dtc_experiment_code_MEMORY_py_16_csv	LARGE_dtc_experiment_code_MEMORY_py_17_csv	LARGE_dtc_experiment_code_MEMORY_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_MEMORY_py_0_csv	0,14689	0,56111	0,58192	0,57627	0,55056	0,54749	0,55056	0,56111	0,58470	0,56111	0,58854	0,60428	0,55932	0,54749	0,55435	0,56497	0,56497	0,54891	0,54802	0,58192
LARGE_dtc_experiment_code_MEMORY_py_10_csv	0,56111	0,14444	0,55000	0,53889	0,57222	0,53333	0,56111	0,51667	0,57923	0,55000	0,60417	0,57219	0,59444	0,56111	0,52174	0,56667	0,57222	0,51087	0,56667	0,57222
LARGE_dtc_experiment_code_MEMORY_py_11_csv	0,58192	0,55000	0,15819	0,55367	0,54494	0,55866	0,60674	0,55556	0,55738	0,57778	0,60938	0,58289	0,57062	0,58101	0,55435	0,60452	0,54237	0,54348	0,55932	0,61017
LARGE_dtc_experiment_code_MEMORY_py_12_csv	0,57627	0,53889	0,55367	0,17059	0,56742	0,55866	0,56180	0,56667	0,58470	0,52222	0,60417	0,55080	0,58857	0,54749	0,51630	0,58757	0,53672	0,53261	0,55682	0,58235
LARGE_dtc_experiment_code_MEMORY_py_13_csv	0,55056	0,57222	0,54494	0,56742	0,15169	0,53631	0,52809	0,55000	0,53552	0,52778	0,54167	0,58289	0,54494	0,54190	0,53804	0,55618	0,55056	0,53804	0,55056	0,57303
LARGE_dtc_experiment_code_MEMORY_py_14_csv	0,54749	0,53333	0,55866	0,55866	0,53631	0,15084	0,53073	0,54444	0,52459	0,55000	0,54167	0,58289	0,54749	0,51955	0,53804	0,57542	0,51955	0,54348	0,51397	0,53073
LARGE_dtc_experiment_code_MEMORY_py_15_csv	0,55056	0,56111	0,60674	0,56180	0,52809	0,53073	0,15730	0,57222	0,59563	0,55556	0,56250	0,58289	0,56742	0,54190	0,52174	0,55618	0,55056	0,54348	0,54494	0,57865
LARGE_dtc_experiment_code_MEMORY_py_16_csv	0,56111	0,51667	0,55556	0,56667	0,55000	0,54444	0,57222	0,15556	0,54098	0,50000	0,56250	0,58289	0,55556	0,54444	0,53261	0,58333	0,53889	0,52174	0,55000	0,57222
LARGE_dtc_experiment_code_MEMORY_py_17_csv	0,58470	0,57923	0,55738	0,58470	0,53552	0,52459	0,59563	0,54098	0,16940	0,54098	0,57812	0,59893	0,61749	0,56831	0,53804	0,59563	0,56284	0,51087	0,54098	0,57377
LARGE_dtc_experiment_code_MEMORY_py_18_csv	0,56111	0,55000	0,57778	0,52222	0,52778	0,55000	0,55556	0,50000	0,54098	0,13333	0,55729	0,55080	0,56667	0,54444	0,47826	0,60000	0,52778	0,52174	0,53889	0,56111
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,58854	0,60417	0,60938	0,60417	0,54167	0,54167	0,56250	0,56250	0,57812	0,55729	0,15104	0,58854	0,59896	0,54688	0,56771	0,59896	0,54167	0,55729	0,58333	0,58333
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,60428	0,57219	0,58289	0,55080	0,58289	0,58289	0,58289	0,58289	0,59893	0,55080	0,58854	0,15508	0,59358	0,57754	0,55080	0,57754	0,58289	0,56684	0,58824	0,60428
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,55932	0,59444	0,57062	0,58857	0,54494	0,54749	0,56742	0,55556	0,61749	0,56667	0,59896	0,59358	0,16000	0,56425	0,57065	0,55932	0,57627	0,57065	0,55682	0,61714
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,54749	0,56111	0,58101	0,54749	0,54190	0,51955	0,54190	0,54444	0,56831	0,54444	0,54688	0,57754	0,56425	0,15642	0,53804	0,57542	0,54749	0,52717	0,53631	0,56425
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,55435	0,52174	0,55435	0,51630	0,53804	0,53804	0,52174	0,53261	0,53804	0,47826	0,56771	0,55080	0,57065	0,53804	0,13043	0,55435	0,54348	0,48913	0,54348	0,55978
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,56497	0,56667	0,60452	0,58757	0,55618	0,57542	0,55618	0,58333	0,59563	0,60000	0,59896	0,57754	0,55932	0,57542	0,55435	0,17514	0,54802	0,58152	0,58757	0,55932
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,56497	0,57222	0,54237	0,53672	0,55056	0,51955	0,55056	0,53889	0,56284	0,52778	0,54167	0,58289	0,57627	0,54749	0,54348	0,54802	0,12994	0,52717	0,52542	0,57062
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,54891	0,51087	0,54348	0,53261	0,53804	0,54348	0,54348	0,52174	0,51087	0,52174	0,55729	0,56684	0,57065	0,52717	0,48913	0,58152	0,52717	0,13587	0,54891	0,55435
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,54802	0,56667	0,55932	0,55682	0,55056	0,51397	0,54494	0,55000	0,54098	0,53889	0,58333	0,58824	0,55682	0,53631	0,54348	0,58757	0,52542	0,54891	0,15341	0,58523
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,58192	0,57222	0,61017	0,58235	0,57303	0,53073	0,57865	0,57222	0,57377	0,56111	0,58333	0,60428	0,61714	0,56425	0,55978	0,55932	0,57062	0,55435	0,58523	0,14371
