	LARGE_dtc_experiment_code_MEMORY_py_0_csv	LARGE_dtc_experiment_code_MEMORY_py_10_csv	LARGE_dtc_experiment_code_MEMORY_py_11_csv	LARGE_dtc_experiment_code_MEMORY_py_12_csv	LARGE_dtc_experiment_code_MEMORY_py_13_csv	LARGE_dtc_experiment_code_MEMORY_py_14_csv	LARGE_dtc_experiment_code_MEMORY_py_15_csv	LARGE_dtc_experiment_code_MEMORY_py_16_csv	LARGE_dtc_experiment_code_MEMORY_py_17_csv	LARGE_dtc_experiment_code_MEMORY_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_MEMORY_py_0_csv	0,08197	0,72131	0,73770	0,73224	0,73224	0,75676	0,73224	0,72678	0,72193	0,74317	0,75472	0,70899	0,72193	0,73770	0,72131	0,75956	0,76503	0,73224	0,72131	0,73224
LARGE_dtc_experiment_code_MEMORY_py_10_csv	0,68852	0,08989	0,74176	0,71910	0,75281	0,75135	0,70787	0,70000	0,71658	0,75843	0,77358	0,75132	0,74332	0,74157	0,71823	0,75843	0,75843	0,70225	0,73034	0,72472
LARGE_dtc_experiment_code_MEMORY_py_11_csv	0,73770	0,66484	0,09341	0,72527	0,69780	0,75135	0,70330	0,71429	0,70053	0,76923	0,76887	0,71958	0,74866	0,71978	0,73626	0,75275	0,69231	0,72527	0,74176	0,74725
LARGE_dtc_experiment_code_MEMORY_py_12_csv	0,72678	0,71348	0,71978	0,08824	0,70760	0,64865	0,69714	0,67222	0,72727	0,66092	0,75000	0,70899	0,73797	0,71023	0,69061	0,76571	0,74706	0,69663	0,69886	0,75294
LARGE_dtc_experiment_code_MEMORY_py_13_csv	0,74317	0,75281	0,73077	0,66667	0,07018	0,70811	0,70857	0,70556	0,67914	0,66092	0,74057	0,68783	0,72727	0,68750	0,66298	0,68571	0,72515	0,68539	0,65341	0,73099
LARGE_dtc_experiment_code_MEMORY_py_14_csv	0,73514	0,72973	0,72973	0,73514	0,71351	0,08108	0,72973	0,62162	0,68984	0,70811	0,74057	0,70899	0,70053	0,70270	0,68649	0,75135	0,74054	0,71351	0,70811	0,72973
LARGE_dtc_experiment_code_MEMORY_py_15_csv	0,72131	0,62360	0,68681	0,69714	0,65714	0,74054	0,07429	0,72778	0,69519	0,74286	0,75472	0,71958	0,72193	0,70455	0,71823	0,72571	0,68571	0,69101	0,71023	0,69143
LARGE_dtc_experiment_code_MEMORY_py_16_csv	0,72131	0,69444	0,73077	0,73333	0,69444	0,72973	0,70556	0,08333	0,73262	0,74444	0,76887	0,73545	0,73797	0,70556	0,72928	0,75000	0,75000	0,70556	0,73889	0,73333
LARGE_dtc_experiment_code_MEMORY_py_17_csv	0,73262	0,72727	0,74866	0,68449	0,67380	0,73797	0,75936	0,74332	0,08556	0,69519	0,75472	0,70899	0,73797	0,72193	0,65775	0,69519	0,75401	0,66310	0,68449	0,72193
LARGE_dtc_experiment_code_MEMORY_py_18_csv	0,73224	0,72472	0,75275	0,64368	0,71839	0,68649	0,74857	0,63333	0,73797	0,09195	0,75472	0,73545	0,73797	0,72159	0,71823	0,76000	0,73563	0,70225	0,71023	0,75287
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,76415	0,76415	0,76415	0,77358	0,76415	0,76887	0,75000	0,78302	0,75472	0,75943	0,06132	0,75000	0,77358	0,75943	0,76415	0,77358	0,77830	0,75943	0,75000	0,75472
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,76190	0,74074	0,74603	0,70899	0,74074	0,73016	0,74074	0,68783	0,73016	0,69841	0,76887	0,07937	0,73545	0,72487	0,74074	0,75132	0,80423	0,72487	0,75132	0,76190
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,70053	0,75936	0,74866	0,74332	0,74332	0,70588	0,73797	0,72727	0,73262	0,72193	0,75000	0,61376	0,08556	0,70053	0,65241	0,74866	0,77005	0,75936	0,64171	0,75401
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,73224	0,70787	0,74176	0,73295	0,72727	0,72973	0,70455	0,73889	0,72727	0,73295	0,75943	0,72487	0,72727	0,07386	0,74586	0,67614	0,76705	0,72472	0,72727	0,67045
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,71038	0,69061	0,74725	0,67403	0,75138	0,66486	0,72928	0,65746	0,72727	0,69613	0,75000	0,66667	0,74866	0,72376	0,08287	0,76243	0,74586	0,66851	0,66851	0,74033
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,75956	0,71910	0,74176	0,73714	0,72571	0,73514	0,72000	0,73333	0,75936	0,72571	0,76887	0,69841	0,72727	0,72159	0,72376	0,08571	0,76000	0,75843	0,72727	0,74857
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,73224	0,69663	0,71429	0,71176	0,68421	0,72432	0,70286	0,72778	0,74332	0,69540	0,74057	0,74074	0,71658	0,72159	0,71823	0,72571	0,08824	0,71910	0,67045	0,70000
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,71038	0,71910	0,71429	0,71910	0,71348	0,74054	0,69101	0,70000	0,68449	0,71348	0,73585	0,72487	0,75401	0,70787	0,72376	0,72472	0,72472	0,07303	0,69663	0,71348
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,73224	0,74157	0,74176	0,67614	0,69318	0,69189	0,73295	0,62222	0,71123	0,68182	0,75000	0,66667	0,72193	0,75568	0,67956	0,74432	0,72727	0,71348	0,07955	0,73295
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,67760	0,72472	0,74725	0,74706	0,73684	0,70811	0,69714	0,72778	0,70588	0,72414	0,74057	0,66667	0,72727	0,70455	0,72376	0,68571	0,72941	0,70225	0,72159	0,07229
