	LARGE_dtc_experiment_code_MEMORY_py_0_csv	LARGE_dtc_experiment_code_MEMORY_py_10_csv	LARGE_dtc_experiment_code_MEMORY_py_11_csv	LARGE_dtc_experiment_code_MEMORY_py_12_csv	LARGE_dtc_experiment_code_MEMORY_py_13_csv	LARGE_dtc_experiment_code_MEMORY_py_14_csv	LARGE_dtc_experiment_code_MEMORY_py_15_csv	LARGE_dtc_experiment_code_MEMORY_py_16_csv	LARGE_dtc_experiment_code_MEMORY_py_17_csv	LARGE_dtc_experiment_code_MEMORY_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_MEMORY_py_0_csv	0,14458	0,49102	0,53012	0,54217	0,52410	0,53012	0,48193	0,53012	0,56213	0,50898	0,57542	0,52976	0,48521	0,48193	0,51807	0,53012	0,53614	0,53012	0,53012	0,51807
LARGE_dtc_experiment_code_MEMORY_py_10_csv	0,49102	0,12575	0,53293	0,52096	0,53892	0,51497	0,49701	0,49701	0,52663	0,50299	0,57542	0,54167	0,52663	0,49701	0,50898	0,54491	0,53892	0,49701	0,53892	0,53892
LARGE_dtc_experiment_code_MEMORY_py_11_csv	0,53012	0,53293	0,15758	0,53939	0,53333	0,55758	0,55152	0,53614	0,52663	0,53892	0,59218	0,55357	0,52663	0,52121	0,53333	0,55152	0,52727	0,51205	0,53939	0,56364
LARGE_dtc_experiment_code_MEMORY_py_12_csv	0,54217	0,52096	0,53939	0,18987	0,55696	0,56707	0,51220	0,53614	0,57396	0,52096	0,59218	0,53571	0,54438	0,50000	0,50909	0,57764	0,54658	0,51205	0,50000	0,51899
LARGE_dtc_experiment_code_MEMORY_py_13_csv	0,52410	0,53892	0,53333	0,55696	0,17834	0,54878	0,53049	0,52410	0,56213	0,52695	0,58101	0,54762	0,53254	0,52439	0,55758	0,55280	0,54037	0,54819	0,50318	0,52866
LARGE_dtc_experiment_code_MEMORY_py_14_csv	0,53012	0,51497	0,55758	0,56707	0,54878	0,15854	0,51829	0,54217	0,52663	0,55090	0,54749	0,55952	0,53254	0,50000	0,52727	0,56098	0,52439	0,54217	0,50610	0,52439
LARGE_dtc_experiment_code_MEMORY_py_15_csv	0,48193	0,49701	0,55152	0,51220	0,53049	0,51829	0,13415	0,52410	0,53846	0,49102	0,55866	0,51190	0,51479	0,48780	0,49091	0,52439	0,51829	0,51807	0,50610	0,53049
LARGE_dtc_experiment_code_MEMORY_py_16_csv	0,53012	0,49701	0,53614	0,53614	0,52410	0,54217	0,52410	0,15060	0,52663	0,50299	0,57542	0,51190	0,49704	0,52410	0,52410	0,54819	0,53012	0,50602	0,51807	0,53012
LARGE_dtc_experiment_code_MEMORY_py_17_csv	0,56213	0,52663	0,52663	0,57396	0,56213	0,52663	0,53846	0,52663	0,17751	0,51479	0,55866	0,55621	0,54438	0,53254	0,55030	0,55621	0,55621	0,51479	0,52071	0,53254
LARGE_dtc_experiment_code_MEMORY_py_18_csv	0,50898	0,50299	0,53892	0,52096	0,52695	0,55090	0,49102	0,50299	0,51479	0,13174	0,55307	0,51786	0,50296	0,50299	0,46108	0,55689	0,50299	0,49701	0,50898	0,51497
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,57542	0,57542	0,59218	0,59218	0,58101	0,54749	0,55866	0,57542	0,55866	0,55307	0,16201	0,56425	0,54749	0,53631	0,56983	0,59777	0,56425	0,56425	0,58659	0,58101
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,52976	0,54167	0,55357	0,53571	0,54762	0,55952	0,51190	0,51190	0,55621	0,51786	0,56425	0,14286	0,50888	0,52381	0,52976	0,54167	0,54762	0,54167	0,54762	0,53571
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,48521	0,52663	0,52663	0,54438	0,53254	0,53254	0,51479	0,49704	0,54438	0,50296	0,54749	0,50888	0,14201	0,49704	0,51479	0,52663	0,54438	0,53254	0,52663	0,52663
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,48193	0,49701	0,52121	0,50000	0,52439	0,50000	0,48780	0,52410	0,53254	0,50299	0,53631	0,52381	0,49704	0,15244	0,48485	0,53049	0,50610	0,49398	0,49390	0,48780
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,51807	0,50898	0,53333	0,50909	0,55758	0,52727	0,49091	0,52410	0,55030	0,46108	0,56983	0,52976	0,51479	0,48485	0,16970	0,55758	0,52727	0,51205	0,50909	0,52727
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,53012	0,54491	0,55152	0,57764	0,55280	0,56098	0,52439	0,54819	0,55621	0,55689	0,59777	0,54167	0,52663	0,53049	0,55758	0,16770	0,54658	0,54217	0,52795	0,50932
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,53614	0,53892	0,52727	0,54658	0,54037	0,52439	0,51829	0,53012	0,55621	0,50299	0,56425	0,54762	0,54438	0,50610	0,52727	0,54658	0,14286	0,51807	0,51553	0,51553
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,53012	0,49701	0,51205	0,51205	0,54819	0,54217	0,51807	0,50602	0,51479	0,49701	0,56425	0,54167	0,53254	0,49398	0,51205	0,54217	0,51807	0,15663	0,51205	0,51205
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,53012	0,53892	0,53939	0,50000	0,50318	0,50610	0,50610	0,51807	0,52071	0,50898	0,58659	0,54762	0,52663	0,49390	0,50909	0,52795	0,51553	0,51205	0,16561	0,52229
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,51807	0,53892	0,56364	0,51899	0,52866	0,52439	0,53049	0,53012	0,53254	0,51497	0,58101	0,53571	0,52663	0,48780	0,52727	0,50932	0,51553	0,51205	0,52229	0,13725
