	LARGE_dtc_experiment_code_MEMORY_py_0_csv	LARGE_dtc_experiment_code_MEMORY_py_10_csv	LARGE_dtc_experiment_code_MEMORY_py_11_csv	LARGE_dtc_experiment_code_MEMORY_py_12_csv	LARGE_dtc_experiment_code_MEMORY_py_13_csv	LARGE_dtc_experiment_code_MEMORY_py_14_csv	LARGE_dtc_experiment_code_MEMORY_py_15_csv	LARGE_dtc_experiment_code_MEMORY_py_16_csv	LARGE_dtc_experiment_code_MEMORY_py_17_csv	LARGE_dtc_experiment_code_MEMORY_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_MEMORY_py_0_csv	0,05650	0,71186	0,73446	0,71186	0,68927	0,72316	0,70621	0,71186	0,68889	0,71751	0,69849	0,68927	0,69492	0,72316	0,67797	0,70621	0,73446	0,69492	0,67232	0,68927
LARGE_dtc_experiment_code_MEMORY_py_10_csv	0,67232	0,05455	0,70349	0,67879	0,71515	0,71930	0,67273	0,66864	0,68333	0,70833	0,73869	0,71186	0,72316	0,71687	0,67665	0,71084	0,74545	0,66071	0,68072	0,68485
LARGE_dtc_experiment_code_MEMORY_py_11_csv	0,70056	0,61047	0,05233	0,68023	0,70349	0,71512	0,70930	0,66860	0,71111	0,72674	0,72362	0,67797	0,71186	0,69767	0,70349	0,71512	0,71512	0,68605	0,70349	0,74419
LARGE_dtc_experiment_code_MEMORY_py_12_csv	0,70056	0,67273	0,68605	0,06135	0,68098	0,70760	0,65244	0,72189	0,69444	0,67262	0,71357	0,66102	0,71186	0,68072	0,65868	0,72289	0,69325	0,67857	0,66265	0,73006
LARGE_dtc_experiment_code_MEMORY_py_13_csv	0,70621	0,70909	0,69767	0,70552	0,06211	0,68421	0,67073	0,68639	0,68333	0,67262	0,70854	0,67232	0,70056	0,67470	0,70060	0,66867	0,69753	0,67857	0,63855	0,68323
LARGE_dtc_experiment_code_MEMORY_py_14_csv	0,71751	0,69591	0,70349	0,69591	0,69591	0,05263	0,72515	0,62573	0,66111	0,68421	0,69849	0,68927	0,67232	0,69591	0,67836	0,69591	0,70175	0,67251	0,69006	0,71345
LARGE_dtc_experiment_code_MEMORY_py_15_csv	0,71751	0,63030	0,72093	0,65854	0,66463	0,70760	0,05488	0,71598	0,68889	0,70238	0,71859	0,68362	0,70621	0,66867	0,68862	0,69277	0,59756	0,66071	0,69277	0,68293
LARGE_dtc_experiment_code_MEMORY_py_16_csv	0,70056	0,65089	0,69186	0,69231	0,66864	0,70175	0,68639	0,05917	0,70000	0,68047	0,71357	0,70056	0,71751	0,68639	0,68047	0,69822	0,70414	0,66864	0,68639	0,71006
LARGE_dtc_experiment_code_MEMORY_py_17_csv	0,70000	0,70000	0,71111	0,68889	0,69444	0,70000	0,72222	0,71111	0,05000	0,66667	0,71859	0,68889	0,70556	0,69444	0,71667	0,71111	0,72778	0,65000	0,66111	0,69444
LARGE_dtc_experiment_code_MEMORY_py_18_csv	0,69492	0,66667	0,70930	0,66667	0,67262	0,69591	0,71429	0,65680	0,68333	0,04762	0,70352	0,68362	0,70621	0,67857	0,66667	0,70238	0,67857	0,69048	0,67262	0,72024
