	LARGE_dtc_experiment_code_MEMORY_py_0_csv	LARGE_dtc_experiment_code_MEMORY_py_10_csv	LARGE_dtc_experiment_code_MEMORY_py_11_csv	LARGE_dtc_experiment_code_MEMORY_py_12_csv	LARGE_dtc_experiment_code_MEMORY_py_13_csv	LARGE_dtc_experiment_code_MEMORY_py_14_csv	LARGE_dtc_experiment_code_MEMORY_py_15_csv	LARGE_dtc_experiment_code_MEMORY_py_16_csv	LARGE_dtc_experiment_code_MEMORY_py_17_csv	LARGE_dtc_experiment_code_MEMORY_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_MEMORY_py_0_csv	0,21374	0,67939	0,68702	0,68702	0,66412	0,67176	0,67939	0,68702	0,70149	0,68702	0,69595	0,70229	0,68702	0,66412	0,67176	0,70229	0,68702	0,67939	0,64122	0,66412
LARGE_dtc_experiment_code_MEMORY_py_10_csv	0,68702	0,20930	0,67939	0,68992	0,69767	0,67442	0,65116	0,63566	0,68657	0,69767	0,73649	0,70543	0,70543	0,66667	0,67442	0,68217	0,70543	0,66154	0,68217	0,67442
LARGE_dtc_experiment_code_MEMORY_py_11_csv	0,67939	0,65649	0,21374	0,66412	0,69466	0,67939	0,70229	0,64885	0,68657	0,68702	0,70946	0,67939	0,70992	0,66412	0,67939	0,69466	0,66412	0,67176	0,66412	0,70229
LARGE_dtc_experiment_code_MEMORY_py_12_csv	0,67939	0,68217	0,65649	0,20000	0,68000	0,68750	0,68000	0,68504	0,69403	0,66142	0,70946	0,67442	0,68750	0,64844	0,62500	0,68000	0,67200	0,66154	0,66929	0,70400
LARGE_dtc_experiment_code_MEMORY_py_13_csv	0,67176	0,68992	0,70992	0,68800	0,20800	0,68750	0,67200	0,66142	0,70149	0,67717	0,73649	0,66667	0,67969	0,64062	0,71094	0,66400	0,68800	0,69231	0,66142	0,68800
LARGE_dtc_experiment_code_MEMORY_py_14_csv	0,67176	0,67442	0,67939	0,70312	0,67188	0,21875	0,67969	0,67188	0,67164	0,69531	0,68919	0,69767	0,66406	0,64062	0,67188	0,71094	0,64844	0,66923	0,64844	0,67188
LARGE_dtc_experiment_code_MEMORY_py_15_csv	0,67939	0,65116	0,69466	0,67200	0,64800	0,67188	0,21600	0,68504	0,70149	0,69291	0,72297	0,68217	0,68750	0,66406	0,67969	0,68800	0,68000	0,66923	0,66142	0,66400
LARGE_dtc_experiment_code_MEMORY_py_16_csv	0,68702	0,63566	0,64885	0,68504	0,66142	0,67969	0,69291	0,21260	0,67910	0,66142	0,70946	0,68217	0,68750	0,63281	0,66406	0,67717	0,66142	0,64615	0,63780	0,67717
LARGE_dtc_experiment_code_MEMORY_py_17_csv	0,69403	0,66418	0,68657	0,68657	0,67910	0,64179	0,70149	0,65672	0,21642	0,65672	0,69595	0,70149	0,70896	0,65672	0,67910	0,70896	0,67164	0,62687	0,64925	0,67164
LARGE_dtc_experiment_code_MEMORY_py_18_csv	0,67939	0,67442	0,68702	0,64567	0,65354	0,67188	0,68504	0,65354	0,66418	0,22047	0,69595	0,65891	0,67188	0,66406	0,63281	0,69291	0,62992	0,66154	0,63780	0,69291
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,70270	0,72297	0,71622	0,70946	0,70946	0,68919	0,73649	0,72297	0,70270	0,70270	0,24324	0,72297	0,72973	0,69595	0,71622	0,72973	0,70946	0,69595	0,68243	0,70946
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,70229	0,69767	0,67939	0,66667	0,66667	0,69767	0,68992	0,68217	0,70896	0,66667	0,71622	0,22481	0,66667	0,68217	0,69767	0,69767	0,69767	0,70000	0,68217	0,70543
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,67939	0,70543	0,70229	0,68750	0,66406	0,66406	0,68750	0,67969	0,70896	0,67969	0,71622	0,66667	0,24219	0,65625	0,67969	0,68750	0,71094	0,70000	0,65625	0,71094
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,67176	0,67442	0,68702	0,66406	0,64844	0,65625	0,67969	0,63281	0,68657	0,69531	0,68919	0,68992	0,65625	0,19531	0,66406	0,67969	0,67969	0,66154	0,62500	0,66406
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,67176	0,65891	0,68702	0,62500	0,69531	0,67969	0,67969	0,66406	0,68657	0,64062	0,71622	0,69767	0,67188	0,65625	0,21094	0,69531	0,66406	0,67692	0,64062	0,69531
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,69466	0,67442	0,70229	0,67200	0,65600	0,70312	0,69600	0,68504	0,71642	0,70866	0,74324	0,68992	0,67969	0,66406	0,69531	0,22400	0,70400	0,69231	0,66929	0,68800
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,67939	0,68992	0,66412	0,68000	0,68000	0,64844	0,68800	0,66142	0,67910	0,66142	0,71622	0,70543	0,71094	0,66406	0,66406	0,68800	0,20800	0,69231	0,65354	0,66400
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,67176	0,66154	0,66412	0,65385	0,66923	0,66923	0,66923	0,65385	0,62687	0,66154	0,70270	0,70000	0,69231	0,64615	0,66923	0,67692	0,67692	0,22308	0,65385	0,66923
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,65649	0,68217	0,68702	0,68504	0,66142	0,65625	0,68504	0,66142	0,66418	0,67717	0,69595	0,70543	0,67188	0,61719	0,65625	0,69291	0,66929	0,66923	0,20472	0,66142
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,67939	0,67442	0,72519	0,72000	0,69600	0,68750	0,68800	0,67717	0,69403	0,72441	0,71622	0,71318	0,72656	0,65625	0,70312	0,70400	0,68800	0,69231	0,66142	0,20168
