	LARGE_dtc_experiment_code_MEMORY_py_0_csv	LARGE_dtc_experiment_code_MEMORY_py_10_csv	LARGE_dtc_experiment_code_MEMORY_py_11_csv	LARGE_dtc_experiment_code_MEMORY_py_12_csv	LARGE_dtc_experiment_code_MEMORY_py_13_csv	LARGE_dtc_experiment_code_MEMORY_py_14_csv	LARGE_dtc_experiment_code_MEMORY_py_15_csv	LARGE_dtc_experiment_code_MEMORY_py_16_csv	LARGE_dtc_experiment_code_MEMORY_py_17_csv	LARGE_dtc_experiment_code_MEMORY_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_MEMORY_py_0_csv	0,29530	0,77852	0,77852	0,77852	0,75839	0,75839	0,76510	0,77181	0,79195	0,78523	0,74847	0,77852	0,76510	0,75839	0,75168	0,78523	0,78523	0,75168	0,70199	0,73826
LARGE_dtc_experiment_code_MEMORY_py_10_csv	0,79195	0,26950	0,75352	0,77305	0,78014	0,75887	0,73759	0,72340	0,77241	0,78723	0,79755	0,78231	0,76761	0,75524	0,74825	0,75352	0,78723	0,75676	0,78146	0,75177
LARGE_dtc_experiment_code_MEMORY_py_11_csv	0,76510	0,72535	0,26761	0,73239	0,75352	0,75352	0,76761	0,71831	0,75862	0,76056	0,77301	0,75510	0,77465	0,74126	0,74126	0,73944	0,73944	0,75000	0,74834	0,76056
LARGE_dtc_experiment_code_MEMORY_py_12_csv	0,76510	0,76596	0,73239	0,23308	0,76978	0,75556	0,75540	0,75912	0,77241	0,73529	0,77914	0,74830	0,76056	0,73427	0,70629	0,76056	0,74265	0,75000	0,76821	0,77536
LARGE_dtc_experiment_code_MEMORY_py_13_csv	0,78523	0,74468	0,79577	0,76978	0,28058	0,75540	0,75540	0,73381	0,75862	0,76259	0,80368	0,74830	0,74648	0,72028	0,79021	0,74648	0,77698	0,77027	0,75497	0,74820
LARGE_dtc_experiment_code_MEMORY_py_14_csv	0,74497	0,73759	0,74648	0,75556	0,72662	0,23704	0,73381	0,72993	0,73793	0,75000	0,74233	0,76871	0,71831	0,72028	0,73427	0,76761	0,72059	0,74324	0,74172	0,70290
LARGE_dtc_experiment_code_MEMORY_py_15_csv	0,78523	0,72340	0,76761	0,75540	0,72662	0,74101	0,28058	0,75540	0,77931	0,76978	0,78528	0,74830	0,74648	0,73427	0,75524	0,76056	0,76259	0,75676	0,76159	0,71942
LARGE_dtc_experiment_code_MEMORY_py_16_csv	0,76510	0,70213	0,72535	0,75912	0,74101	0,74453	0,76259	0,24818	0,75862	0,72993	0,77301	0,76190	0,75352	0,71329	0,74126	0,73944	0,72993	0,72973	0,74834	0,74638
LARGE_dtc_experiment_code_MEMORY_py_17_csv	0,79195	0,74483	0,75862	0,74483	0,75862	0,71724	0,77241	0,73793	0,27586	0,73103	0,76687	0,76871	0,76552	0,73793	0,73103	0,77241	0,74483	0,69595	0,74172	0,74483
LARGE_dtc_experiment_code_MEMORY_py_18_csv	0,78523	0,75887	0,76056	0,71324	0,74101	0,73529	0,76978	0,72263	0,73793	0,25735	0,76074	0,73469	0,73239	0,75524	0,71329	0,76761	0,70588	0,74324	0,72848	0,76812
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,74847	0,77914	0,77914	0,76687	0,77301	0,74847	0,78528	0,77301	0,76687	0,76687	0,23926	0,77301	0,77914	0,74847	0,76074	0,78528	0,77914	0,74847	0,73006	0,76074
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,77852	0,77551	0,74830	0,75510	0,74830	0,77551	0,76190	0,75510	0,78231	0,74150	0,77914	0,28571	0,72789	0,75510	0,76871	0,76190	0,77551	0,77703	0,77483	0,78231
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,75839	0,77465	0,77465	0,76056	0,73239	0,72535	0,75352	0,74648	0,77241	0,74648	0,77301	0,72789	0,28169	0,72028	0,74126	0,75352	0,77465	0,77703	0,75497	0,78169
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,75839	0,75524	0,77622	0,75524	0,72727	0,74126	0,75524	0,72028	0,76552	0,77622	0,76074	0,76871	0,72727	0,26573	0,74126	0,76224	0,77622	0,75000	0,73510	0,74126
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,75839	0,72727	0,74825	0,70629	0,78322	0,74825	0,76224	0,73427	0,75172	0,71329	0,77301	0,78231	0,74825	0,73427	0,25874	0,76224	0,73427	0,74324	0,73510	0,76923
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,77852	0,73944	0,76056	0,75352	0,73239	0,77465	0,76056	0,74648	0,77931	0,78169	0,79755	0,75510	0,73944	0,74126	0,75524	0,28169	0,77465	0,76351	0,76821	0,76761
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,77181	0,75887	0,73239	0,74265	0,75540	0,69118	0,76259	0,72993	0,75172	0,72794	0,77914	0,78231	0,76761	0,74825	0,73427	0,75352	0,25000	0,77027	0,75497	0,73913
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,75839	0,74324	0,75676	0,74324	0,75676	0,75676	0,76351	0,74324	0,70946	0,75676	0,76687	0,79054	0,77027	0,72973	0,75000	0,75676	0,77027	0,29054	0,74834	0,75676
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,75497	0,78146	0,78146	0,78146	0,76821	0,76159	0,78808	0,76821	0,76821	0,78146	0,75460	0,77483	0,76159	0,73510	0,74172	0,78808	0,78146	0,74834	0,29139	0,76159
