	LARGE_dtc_experiment_code_MEMORY_py_0_csv	LARGE_dtc_experiment_code_MEMORY_py_10_csv	LARGE_dtc_experiment_code_MEMORY_py_11_csv	LARGE_dtc_experiment_code_MEMORY_py_12_csv	LARGE_dtc_experiment_code_MEMORY_py_13_csv	LARGE_dtc_experiment_code_MEMORY_py_14_csv	LARGE_dtc_experiment_code_MEMORY_py_15_csv	LARGE_dtc_experiment_code_MEMORY_py_16_csv	LARGE_dtc_experiment_code_MEMORY_py_17_csv	LARGE_dtc_experiment_code_MEMORY_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_MEMORY_py_0_csv	0,08929	0,75595	0,79167	0,79762	0,78571	0,78698	0,79762	0,78571	0,79167	0,77976	0,80711	0,76471	0,76786	0,76190	0,77976	0,80357	0,80952	0,79167	0,78571	0,75595
LARGE_dtc_experiment_code_MEMORY_py_10_csv	0,74405	0,09036	0,78313	0,78313	0,80120	0,77515	0,75904	0,74699	0,76190	0,80120	0,81726	0,78824	0,79762	0,80120	0,77108	0,79518	0,77711	0,76506	0,80723	0,78313
LARGE_dtc_experiment_code_MEMORY_py_11_csv	0,77381	0,71084	0,09639	0,76506	0,73494	0,76331	0,77108	0,75904	0,75595	0,78916	0,78680	0,76471	0,79762	0,75904	0,78916	0,81928	0,74699	0,77108	0,80723	0,79518
LARGE_dtc_experiment_code_MEMORY_py_12_csv	0,77381	0,74699	0,78313	0,09272	0,74839	0,72781	0,73885	0,70552	0,76190	0,72956	0,79188	0,77647	0,78571	0,75316	0,72561	0,80864	0,77273	0,77019	0,75000	0,79470
LARGE_dtc_experiment_code_MEMORY_py_13_csv	0,78571	0,77711	0,77711	0,74839	0,09032	0,78698	0,76433	0,76687	0,76190	0,70440	0,81726	0,74706	0,78571	0,74051	0,73780	0,68519	0,78065	0,71429	0,73718	0,77419
LARGE_dtc_experiment_code_MEMORY_py_14_csv	0,75148	0,75148	0,79882	0,78107	0,76923	0,08876	0,79882	0,67456	0,74556	0,76923	0,77665	0,75882	0,76331	0,76923	0,75740	0,77515	0,76331	0,78107	0,79290	0,75148
LARGE_dtc_experiment_code_MEMORY_py_15_csv	0,79167	0,71687	0,77711	0,76433	0,72611	0,79290	0,09554	0,76687	0,79167	0,77358	0,80203	0,75294	0,77976	0,75316	0,78659	0,78395	0,77070	0,77019	0,80892	0,77707
LARGE_dtc_experiment_code_MEMORY_py_16_csv	0,74405	0,71084	0,78916	0,77301	0,77301	0,78698	0,75460	0,07975	0,79762	0,77914	0,81218	0,77059	0,77381	0,74233	0,77439	0,78528	0,80368	0,75460	0,80368	0,75460
LARGE_dtc_experiment_code_MEMORY_py_17_csv	0,76190	0,75595	0,80357	0,77381	0,73810	0,76923	0,79762	0,79167	0,07738	0,76786	0,79695	0,75882	0,77381	0,75000	0,73214	0,72619	0,80952	0,74405	0,78571	0,75595
LARGE_dtc_experiment_code_MEMORY_py_18_csv	0,78571	0,75904	0,80723	0,71069	0,76101	0,74556	0,80503	0,68712	0,77976	0,09434	0,79188	0,78235	0,79167	0,74843	0,77439	0,81481	0,76730	0,76398	0,77358	0,77358
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,80711	0,83249	0,81726	0,83249	0,81218	0,81726	0,81726	0,84264	0,82741	0,79695	0,07614	0,80711	0,82741	0,82234	0,83249	0,79695	0,82234	0,81218	0,83249	0,80203
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,78235	0,76471	0,80588	0,80588	0,80000	0,77059	0,79412	0,78235	0,82353	0,75882	0,82741	0,10000	0,78235	0,77647	0,80588	0,79412	0,84118	0,77647	0,82941	0,83529
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,76190	0,79167	0,79762	0,80357	0,79167	0,75740	0,77976	0,77976	0,79762	0,77976	0,80203	0,70000	0,10119	0,74405	0,76190	0,80357	0,81548	0,82738	0,75000	0,80357
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,75595	0,76506	0,80120	0,77215	0,76582	0,79290	0,75316	0,76687	0,78571	0,76101	0,79695	0,77059	0,77381	0,07595	0,78049	0,70370	0,80380	0,77019	0,78481	0,70253
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,75595	0,74699	0,82530	0,75610	0,81098	0,72189	0,80488	0,71951	0,78571	0,73171	0,82234	0,72353	0,80357	0,76829	0,09146	0,81707	0,79878	0,76220	0,73780	0,81707
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,79167	0,77711	0,80120	0,80247	0,77160	0,77515	0,80247	0,79755	0,81548	0,72840	0,83249	0,74118	0,80357	0,78395	0,78049	0,09259	0,81481	0,79012	0,80864	0,80247
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,79167	0,73494	0,77108	0,77922	0,73548	0,75740	0,73885	0,77301	0,77381	0,74843	0,78173	0,78235	0,77976	0,77215	0,78049	0,79012	0,09740	0,77019	0,76282	0,77273
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,76786	0,76506	0,78313	0,77640	0,77640	0,82249	0,76398	0,77301	0,76786	0,75155	0,79188	0,77059	0,80952	0,77640	0,78659	0,78395	0,80124	0,08696	0,78261	0,79503
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,76190	0,79518	0,80723	0,77564	0,73077	0,78107	0,78344	0,72393	0,77976	0,77987	0,80711	0,77647	0,79762	0,77215	0,74390	0,80247	0,76282	0,79503	0,09615	0,78205
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,73214	0,74699	0,81325	0,80132	0,78065	0,76923	0,75796	0,76687	0,77381	0,74843	0,78680	0,71765	0,79762	0,74684	0,77439	0,71605	0,78571	0,74534	0,78205	0,06667
