	LARGE_dtc_experiment_code_PROCESS_py_0_csv	LARGE_dtc_experiment_code_PROCESS_py_10_csv	LARGE_dtc_experiment_code_PROCESS_py_11_csv	LARGE_dtc_experiment_code_PROCESS_py_12_csv	LARGE_dtc_experiment_code_PROCESS_py_13_csv	LARGE_dtc_experiment_code_PROCESS_py_14_csv	LARGE_dtc_experiment_code_PROCESS_py_15_csv	LARGE_dtc_experiment_code_PROCESS_py_16_csv	LARGE_dtc_experiment_code_PROCESS_py_17_csv	LARGE_dtc_experiment_code_PROCESS_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_PROCESS_py_0_csv	0,17352	0,54260	0,57078	0,59649	0,56109	0,58904	0,59817	0,59817	0,59641	0,57078	0,64384	0,67123	0,66210	0,64384	0,62100	0,69406	0,66667	0,64840	0,67123	0,68950
LARGE_dtc_experiment_code_PROCESS_py_10_csv	0,54260	0,17937	0,59641	0,58333	0,57848	0,56502	0,58744	0,57399	0,57399	0,60538	0,67265	0,68161	0,68161	0,61883	0,61883	0,66816	0,65471	0,62332	0,66368	0,66368
LARGE_dtc_experiment_code_PROCESS_py_11_csv	0,57078	0,59641	0,18140	0,58772	0,57014	0,55814	0,56881	0,55814	0,59193	0,62326	0,65581	0,66512	0,65116	0,63256	0,63721	0,66512	0,64651	0,64186	0,63721	0,66977
LARGE_dtc_experiment_code_PROCESS_py_12_csv	0,59649	0,58333	0,58772	0,18860	0,59211	0,57895	0,58772	0,57018	0,57456	0,61404	0,67105	0,65789	0,67982	0,64912	0,64912	0,69298	0,65789	0,65351	0,66667	0,67105
LARGE_dtc_experiment_code_PROCESS_py_13_csv	0,56109	0,57848	0,57014	0,59211	0,19005	0,55204	0,57466	0,54751	0,57399	0,60181	0,65611	0,63801	0,63801	0,66516	0,62443	0,69683	0,63348	0,65158	0,63801	0,65158
LARGE_dtc_experiment_code_PROCESS_py_14_csv	0,58904	0,56502	0,55814	0,57895	0,55204	0,18140	0,57798	0,55349	0,59193	0,59070	0,62791	0,65116	0,66047	0,64186	0,62326	0,65581	0,65116	0,64186	0,64186	0,66047
LARGE_dtc_experiment_code_PROCESS_py_15_csv	0,59817	0,58744	0,56881	0,58772	0,57466	0,57798	0,20642	0,57339	0,60987	0,61009	0,65596	0,65596	0,69725	0,64220	0,63303	0,66055	0,65596	0,64679	0,65138	0,70642
LARGE_dtc_experiment_code_PROCESS_py_16_csv	0,59817	0,57399	0,55814	0,57018	0,54751	0,55349	0,57339	0,15493	0,56951	0,58216	0,65258	0,63380	0,67606	0,64319	0,62441	0,65728	0,66667	0,62441	0,64789	0,63850
LARGE_dtc_experiment_code_PROCESS_py_17_csv	0,59641	0,57399	0,59193	0,57456	0,57399	0,59193	0,60987	0,56951	0,19283	0,60987	0,64574	0,66816	0,69058	0,65471	0,65471	0,68161	0,64574	0,65022	0,65919	0,66816
LARGE_dtc_experiment_code_PROCESS_py_18_csv	0,57078	0,60538	0,62326	0,61404	0,60181	0,59070	0,61009	0,58216	0,60987	0,20379	0,67299	0,66351	0,68720	0,65403	0,61611	0,67773	0,67773	0,64929	0,66825	0,66351
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,64384	0,67265	0,65581	0,67105	0,65611	0,62791	0,65596	0,65258	0,64574	0,67299	0,15104	0,58854	0,59896	0,54688	0,56771	0,59896	0,54167	0,55729	0,58333	0,58333
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,67123	0,68161	0,66512	0,65789	0,63801	0,65116	0,65596	0,63380	0,66816	0,66351	0,58854	0,15508	0,59358	0,57754	0,55080	0,57754	0,58289	0,56684	0,58824	0,60428
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,66210	0,68161	0,65116	0,67982	0,63801	0,66047	0,69725	0,67606	0,69058	0,68720	0,59896	0,59358	0,16000	0,56425	0,57065	0,55932	0,57627	0,57065	0,55682	0,61714
