	LARGE_dtc_experiment_code_PROCESS_py_0_csv	LARGE_dtc_experiment_code_PROCESS_py_10_csv	LARGE_dtc_experiment_code_PROCESS_py_11_csv	LARGE_dtc_experiment_code_PROCESS_py_12_csv	LARGE_dtc_experiment_code_PROCESS_py_13_csv	LARGE_dtc_experiment_code_PROCESS_py_14_csv	LARGE_dtc_experiment_code_PROCESS_py_15_csv	LARGE_dtc_experiment_code_PROCESS_py_16_csv	LARGE_dtc_experiment_code_PROCESS_py_17_csv	LARGE_dtc_experiment_code_PROCESS_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_PROCESS_py_0_csv	0,06438	0,74678	0,75107	0,76271	0,76395	0,76824	0,76824	0,75966	0,74678	0,76824	0,78970	0,78970	0,80258	0,75107	0,76824	0,80258	0,81116	0,80258	0,78112	0,81974
LARGE_dtc_experiment_code_PROCESS_py_10_csv	0,73391	0,06438	0,78541	0,81356	0,76824	0,77253	0,76395	0,75536	0,76395	0,75536	0,78112	0,77253	0,79399	0,77682	0,77682	0,80687	0,80258	0,76395	0,78112	0,81116
LARGE_dtc_experiment_code_PROCESS_py_11_csv	0,71674	0,78541	0,05963	0,75424	0,75652	0,72146	0,74449	0,75229	0,73160	0,74886	0,76147	0,74771	0,77982	0,73853	0,75688	0,79817	0,80734	0,77064	0,76606	0,79817
LARGE_dtc_experiment_code_PROCESS_py_12_csv	0,74153	0,78814	0,76271	0,05932	0,77119	0,78390	0,74153	0,76271	0,75847	0,79237	0,80932	0,76695	0,79661	0,75847	0,79237	0,80508	0,81780	0,77966	0,78814	0,80508
LARGE_dtc_experiment_code_PROCESS_py_13_csv	0,73820	0,77253	0,75217	0,78814	0,05652	0,76522	0,79565	0,78261	0,74892	0,77391	0,78696	0,77391	0,79130	0,78696	0,77826	0,81304	0,80435	0,77826	0,78696	0,79565
LARGE_dtc_experiment_code_PROCESS_py_14_csv	0,74678	0,76395	0,75342	0,77966	0,76957	0,06849	0,75771	0,75799	0,77056	0,75799	0,78082	0,77169	0,81279	0,78082	0,75799	0,80822	0,80365	0,76256	0,75799	0,80365
LARGE_dtc_experiment_code_PROCESS_py_15_csv	0,73391	0,77253	0,74449	0,72458	0,75652	0,75330	0,05727	0,74890	0,74892	0,74890	0,78855	0,76211	0,77974	0,77093	0,79295	0,78414	0,81057	0,78414	0,77533	0,78855
LARGE_dtc_experiment_code_PROCESS_py_16_csv	0,75966	0,75107	0,76606	0,77119	0,78696	0,75342	0,78855	0,06019	0,76190	0,75342	0,78704	0,76852	0,77778	0,77778	0,78241	0,79630	0,80093	0,75463	0,75000	0,79167
LARGE_dtc_experiment_code_PROCESS_py_17_csv	0,73820	0,77682	0,73593	0,73729	0,73160	0,74459	0,75325	0,77056	0,05628	0,76190	0,78788	0,78355	0,77056	0,77056	0,78355	0,83117	0,81818	0,77489	0,77056	0,79221
LARGE_dtc_experiment_code_PROCESS_py_18_csv	0,75966	0,77253	0,78995	0,77966	0,78261	0,75799	0,77093	0,74429	0,77489	0,06393	0,79452	0,77626	0,76256	0,78082	0,78995	0,79452	0,80365	0,76712	0,77626	0,78995
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,78541	0,81116	0,79817	0,80508	0,80000	0,78995	0,81498	0,78241	0,77056	0,78082	0,06132	0,75000	0,77358	0,75943	0,76415	0,77358	0,77830	0,75943	0,75000	0,75472
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,79828	0,81545	0,77523	0,80508	0,80435	0,78539	0,79295	0,79630	0,79221	0,78082	0,76887	0,07937	0,73545	0,72487	0,74074	0,75132	0,80423	0,72487	0,75132	0,76190
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,76824	0,79828	0,76147	0,78390	0,79565	0,80822	0,79295	0,77315	0,80519	0,75799	0,75000	0,61376	0,08556	0,70053	0,65241	0,74866	0,77005	0,75936	0,64171	0,75401
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,75966	0,78541	0,78899	0,80508	0,79565	0,78082	0,80176	0,77315	0,80519	0,79452	0,75943	0,72487	0,72727	0,07386	0,74586	0,67614	0,76705	0,72472	0,72727	0,67045
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,81116	0,79399	0,80734	0,80085	0,82609	0,76712	0,77974	0,76852	0,79654	0,77626	0,75000	0,66667	0,74866	0,72376	0,08287	0,76243	0,74586	0,66851	0,66851	0,74033
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,78970	0,82403	0,79358	0,80932	0,82609	0,76712	0,79295	0,79167	0,80519	0,77626	0,76887	0,69841	0,72727	0,72159	0,72376	0,08571	0,76000	0,75843	0,72727	0,74857
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,78112	0,79399	0,80275	0,81356	0,82174	0,76712	0,80176	0,76852	0,80519	0,79909	0,74057	0,74074	0,71658	0,72159	0,71823	0,72571	0,08824	0,71910	0,67045	0,70000
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,77682	0,80258	0,77064	0,77542	0,77826	0,74429	0,77093	0,74074	0,74892	0,75342	0,73585	0,72487	0,75401	0,70787	0,72376	0,72472	0,72472	0,07303	0,69663	0,71348
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,78112	0,81974	0,78440	0,79237	0,80000	0,76712	0,80617	0,77778	0,79654	0,78995	0,75000	0,66667	0,72193	0,75568	0,67956	0,74432	0,72727	0,71348	0,07955	0,73295
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,81545	0,80687	0,80734	0,80508	0,81739	0,80365	0,81498	0,78704	0,80519	0,77626	0,74057	0,66667	0,72727	0,70455	0,72376	0,68571	0,72941	0,70225	0,72159	0,07229
