	LARGE_dtc_experiment_code_PROCESS_py_0_csv	LARGE_dtc_experiment_code_PROCESS_py_10_csv	LARGE_dtc_experiment_code_PROCESS_py_11_csv	LARGE_dtc_experiment_code_PROCESS_py_12_csv	LARGE_dtc_experiment_code_PROCESS_py_13_csv	LARGE_dtc_experiment_code_PROCESS_py_14_csv	LARGE_dtc_experiment_code_PROCESS_py_15_csv	LARGE_dtc_experiment_code_PROCESS_py_16_csv	LARGE_dtc_experiment_code_PROCESS_py_17_csv	LARGE_dtc_experiment_code_PROCESS_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_PROCESS_py_0_csv	0,18049	0,59070	0,60488	0,64186	0,64251	0,60680	0,60377	0,58537	0,60185	0,61463	0,61463	0,64878	0,62927	0,59512	0,63415	0,66829	0,63902	0,62439	0,63415	0,64390
LARGE_dtc_experiment_code_PROCESS_py_10_csv	0,59070	0,16744	0,59070	0,59535	0,61395	0,57674	0,58605	0,58605	0,54630	0,61860	0,62791	0,63256	0,61860	0,59535	0,60465	0,63256	0,62326	0,58605	0,61395	0,61395
LARGE_dtc_experiment_code_PROCESS_py_11_csv	0,60488	0,59070	0,17241	0,59535	0,59420	0,55825	0,56132	0,56373	0,58333	0,61576	0,63547	0,62069	0,60591	0,59606	0,61084	0,65025	0,63054	0,59113	0,62069	0,63054
LARGE_dtc_experiment_code_PROCESS_py_12_csv	0,64186	0,59535	0,59535	0,20930	0,61860	0,58605	0,60000	0,60465	0,58796	0,66047	0,68837	0,63721	0,62791	0,63256	0,63721	0,66512	0,66047	0,62326	0,66047	0,64186
LARGE_dtc_experiment_code_PROCESS_py_13_csv	0,64251	0,61395	0,59420	0,61860	0,21256	0,57971	0,58491	0,59420	0,62500	0,64251	0,64734	0,63285	0,59903	0,63285	0,61353	0,64251	0,62802	0,63768	0,63285	0,62802
LARGE_dtc_experiment_code_PROCESS_py_14_csv	0,60680	0,57674	0,55825	0,58605	0,57971	0,17476	0,57547	0,57282	0,59722	0,62621	0,61650	0,59709	0,60194	0,59709	0,60680	0,61650	0,61650	0,60680	0,62136	0,60680
LARGE_dtc_experiment_code_PROCESS_py_15_csv	0,60377	0,58605	0,56132	0,60000	0,58491	0,57547	0,17925	0,58962	0,58796	0,63208	0,61321	0,60849	0,60377	0,58019	0,61321	0,63208	0,63208	0,59906	0,60849	0,61321
LARGE_dtc_experiment_code_PROCESS_py_16_csv	0,58537	0,58605	0,56373	0,60465	0,59420	0,57282	0,58962	0,14216	0,60185	0,60784	0,61275	0,60294	0,60294	0,58824	0,59804	0,62255	0,62255	0,57353	0,62745	0,60784
LARGE_dtc_experiment_code_PROCESS_py_17_csv	0,60185	0,54630	0,58333	0,58796	0,62500	0,59722	0,58796	0,60185	0,18056	0,61574	0,63889	0,62500	0,62037	0,60185	0,62037	0,62963	0,61111	0,60648	0,62500	0,61111
LARGE_dtc_experiment_code_PROCESS_py_18_csv	0,61463	0,61860	0,61576	0,66047	0,64251	0,62621	0,63208	0,60784	0,61574	0,21320	0,64975	0,61929	0,61421	0,60914	0,60406	0,64975	0,61929	0,61929	0,64975	0,60914
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,61463	0,62791	0,63547	0,68837	0,64734	0,61650	0,61321	0,61275	0,63889	0,64975	0,16201	0,56425	0,54749	0,53631	0,56983	0,59777	0,56425	0,56425	0,58659	0,58101
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,64878	0,63256	0,62069	0,63721	0,63285	0,59709	0,60849	0,60294	0,62500	0,61929	0,56425	0,14286	0,50888	0,52381	0,52976	0,54167	0,54762	0,54167	0,54762	0,53571
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,62927	0,61860	0,60591	0,62791	0,59903	0,60194	0,60377	0,60294	0,62037	0,61421	0,54749	0,50888	0,14201	0,49704	0,51479	0,52663	0,54438	0,53254	0,52663	0,52663
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,59512	0,59535	0,59606	0,63256	0,63285	0,59709	0,58019	0,58824	0,60185	0,60914	0,53631	0,52381	0,49704	0,15244	0,48485	0,53049	0,50610	0,49398	0,49390	0,48780
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,63415	0,60465	0,61084	0,63721	0,61353	0,60680	0,61321	0,59804	0,62037	0,60406	0,56983	0,52976	0,51479	0,48485	0,16970	0,55758	0,52727	0,51205	0,50909	0,52727
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,66829	0,63256	0,65025	0,66512	0,64251	0,61650	0,63208	0,62255	0,62963	0,64975	0,59777	0,54167	0,52663	0,53049	0,55758	0,16770	0,54658	0,54217	0,52795	0,50932
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,63902	0,62326	0,63054	0,66047	0,62802	0,61650	0,63208	0,62255	0,61111	0,61929	0,56425	0,54762	0,54438	0,50610	0,52727	0,54658	0,14286	0,51807	0,51553	0,51553
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,62439	0,58605	0,59113	0,62326	0,63768	0,60680	0,59906	0,57353	0,60648	0,61929	0,56425	0,54167	0,53254	0,49398	0,51205	0,54217	0,51807	0,15663	0,51205	0,51205
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,63415	0,61395	0,62069	0,66047	0,63285	0,62136	0,60849	0,62745	0,62500	0,64975	0,58659	0,54762	0,52663	0,49390	0,50909	0,52795	0,51553	0,51205	0,16561	0,52229
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,64390	0,61395	0,63054	0,64186	0,62802	0,60680	0,61321	0,60784	0,61111	0,60914	0,58101	0,53571	0,52663	0,48780	0,52727	0,50932	0,51553	0,51205	0,52229	0,13725
