	LARGE_dtc_experiment_code_PROCESS_py_0_csv	LARGE_dtc_experiment_code_PROCESS_py_10_csv	LARGE_dtc_experiment_code_PROCESS_py_11_csv	LARGE_dtc_experiment_code_PROCESS_py_12_csv	LARGE_dtc_experiment_code_PROCESS_py_13_csv	LARGE_dtc_experiment_code_PROCESS_py_14_csv	LARGE_dtc_experiment_code_PROCESS_py_15_csv	LARGE_dtc_experiment_code_PROCESS_py_16_csv	LARGE_dtc_experiment_code_PROCESS_py_17_csv	LARGE_dtc_experiment_code_PROCESS_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_PROCESS_py_0_csv	0,05752	0,72566	0,72566	0,73913	0,73894	0,73451	0,73894	0,72124	0,72566	0,72124	0,74779	0,75664	0,77434	0,73451	0,74336	0,77876	0,77434	0,77876	0,76106	0,79646
LARGE_dtc_experiment_code_PROCESS_py_10_csv	0,70354	0,05778	0,76000	0,80000	0,74222	0,74667	0,75111	0,72444	0,75556	0,72889	0,75111	0,74667	0,76889	0,76889	0,76444	0,78222	0,78667	0,75556	0,77333	0,79556
LARGE_dtc_experiment_code_PROCESS_py_11_csv	0,69469	0,76889	0,05687	0,73478	0,74222	0,70698	0,72072	0,70755	0,72444	0,73239	0,73460	0,72986	0,74882	0,73460	0,74408	0,76303	0,78199	0,75355	0,75355	0,78199
LARGE_dtc_experiment_code_PROCESS_py_12_csv	0,71739	0,76957	0,73478	0,05217	0,74348	0,74783	0,72174	0,72609	0,73913	0,75652	0,76957	0,74783	0,77391	0,75217	0,77391	0,77826	0,80435	0,76522	0,77391	0,78696
LARGE_dtc_experiment_code_PROCESS_py_13_csv	0,71681	0,74667	0,73333	0,76087	0,04889	0,72889	0,76444	0,75556	0,73778	0,76000	0,76000	0,73333	0,75556	0,76889	0,75111	0,77333	0,76444	0,76889	0,76889	0,76889
LARGE_dtc_experiment_code_PROCESS_py_14_csv	0,72566	0,74222	0,72093	0,75217	0,73778	0,05581	0,72973	0,72558	0,75111	0,74419	0,73953	0,72558	0,77674	0,75814	0,73488	0,76279	0,78605	0,74419	0,74419	0,78140
LARGE_dtc_experiment_code_PROCESS_py_15_csv	0,70796	0,75111	0,72523	0,70000	0,74222	0,72072	0,05405	0,71171	0,73333	0,71171	0,73423	0,72973	0,75676	0,74775	0,76126	0,74324	0,80180	0,75676	0,75225	0,77477
LARGE_dtc_experiment_code_PROCESS_py_16_csv	0,72124	0,72444	0,74528	0,74348	0,76000	0,71628	0,75676	0,06132	0,75111	0,71362	0,75000	0,73113	0,75472	0,77358	0,75943	0,75943	0,77830	0,74057	0,73585	0,76415
LARGE_dtc_experiment_code_PROCESS_py_17_csv	0,72566	0,76444	0,72000	0,72609	0,72000	0,71556	0,73778	0,74667	0,05778	0,74667	0,75111	0,74667	0,75556	0,76000	0,76444	0,79556	0,79111	0,75111	0,75556	0,77333
LARGE_dtc_experiment_code_PROCESS_py_18_csv	0,72566	0,75111	0,76526	0,75217	0,76444	0,72093	0,73423	0,70892	0,76000	0,06103	0,75587	0,73709	0,74648	0,76056	0,76995	0,75587	0,77934	0,74648	0,76056	0,75587
