	LARGE_dtc_experiment_code_PROCESS_py_0_csv	LARGE_dtc_experiment_code_PROCESS_py_10_csv	LARGE_dtc_experiment_code_PROCESS_py_11_csv	LARGE_dtc_experiment_code_PROCESS_py_12_csv	LARGE_dtc_experiment_code_PROCESS_py_13_csv	LARGE_dtc_experiment_code_PROCESS_py_14_csv	LARGE_dtc_experiment_code_PROCESS_py_15_csv	LARGE_dtc_experiment_code_PROCESS_py_16_csv	LARGE_dtc_experiment_code_PROCESS_py_17_csv	LARGE_dtc_experiment_code_PROCESS_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_PROCESS_py_0_csv	0,24138	0,67241	0,69540	0,69444	0,70115	0,68966	0,68182	0,67816	0,68182	0,70690	0,75862	0,77586	0,78161	0,72414	0,76437	0,79310	0,78161	0,75287	0,75862	0,78736
LARGE_dtc_experiment_code_PROCESS_py_10_csv	0,66092	0,22414	0,69540	0,72222	0,69540	0,69540	0,69886	0,68391	0,71023	0,70115	0,77011	0,76437	0,77586	0,73563	0,75287	0,78161	0,79310	0,74138	0,75862	0,77586
LARGE_dtc_experiment_code_PROCESS_py_11_csv	0,68391	0,70115	0,24699	0,68333	0,71264	0,66867	0,69318	0,67470	0,68750	0,69277	0,76506	0,74699	0,75904	0,73494	0,76506	0,78313	0,77711	0,75904	0,74096	0,77711
LARGE_dtc_experiment_code_PROCESS_py_12_csv	0,70000	0,73889	0,68889	0,23333	0,71111	0,67778	0,68333	0,67778	0,69444	0,72222	0,77222	0,76667	0,78333	0,75556	0,77222	0,78889	0,80556	0,77222	0,76667	0,77778
LARGE_dtc_experiment_code_PROCESS_py_13_csv	0,70115	0,71264	0,70690	0,68889	0,23563	0,68391	0,69886	0,68966	0,67614	0,72989	0,75862	0,76437	0,73563	0,75287	0,76437	0,78161	0,75862	0,75287	0,74138	0,77586
LARGE_dtc_experiment_code_PROCESS_py_14_csv	0,68966	0,70115	0,66867	0,69444	0,68391	0,23030	0,69886	0,68485	0,70455	0,70303	0,75152	0,75152	0,76970	0,75152	0,74545	0,77576	0,77576	0,73333	0,73939	0,77576
LARGE_dtc_experiment_code_PROCESS_py_15_csv	0,68182	0,71023	0,69886	0,67778	0,71023	0,71023	0,23295	0,67614	0,69886	0,71023	0,76136	0,75000	0,78409	0,76705	0,77273	0,76705	0,78409	0,76136	0,75568	0,78409
LARGE_dtc_experiment_code_PROCESS_py_16_csv	0,67816	0,70115	0,69277	0,67778	0,70690	0,68485	0,68182	0,23030	0,70455	0,67879	0,76970	0,75152	0,75152	0,74545	0,75152	0,75758	0,76970	0,73939	0,73939	0,76364
LARGE_dtc_experiment_code_PROCESS_py_17_csv	0,69318	0,69886	0,69886	0,68889	0,68750	0,69886	0,69886	0,69886	0,22727	0,72159	0,75568	0,76136	0,79545	0,76136	0,77273	0,78977	0,77841	0,74432	0,75568	0,77841
LARGE_dtc_experiment_code_PROCESS_py_18_csv	0,70115	0,70115	0,71084	0,72222	0,72989	0,69091	0,69318	0,67879	0,71023	0,23030	0,77576	0,76970	0,76970	0,73939	0,75758	0,78788	0,77576	0,74545	0,74545	0,75758
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,74138	0,77011	0,76506	0,76667	0,76437	0,74545	0,76136	0,75152	0,75568	0,76970	0,24324	0,72297	0,72973	0,69595	0,71622	0,72973	0,70946	0,69595	0,68243	0,70946
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,77586	0,77586	0,74699	0,76111	0,77586	0,75758	0,75000	0,74545	0,76705	0,76970	0,71622	0,22481	0,66667	0,68217	0,69767	0,69767	0,69767	0,70000	0,68217	0,70543
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,78161	0,77586	0,75301	0,76667	0,72989	0,75152	0,76136	0,73333	0,78977	0,76364	0,71622	0,66667	0,24219	0,65625	0,67969	0,68750	0,71094	0,70000	0,65625	0,71094
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,72989	0,74713	0,75301	0,75556	0,77011	0,76364	0,76136	0,75152	0,75568	0,75758	0,68919	0,68992	0,65625	0,19531	0,66406	0,67969	0,67969	0,66154	0,62500	0,66406
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,76437	0,75287	0,75904	0,76667	0,76437	0,73939	0,76136	0,75152	0,77273	0,75152	0,71622	0,69767	0,67188	0,65625	0,21094	0,69531	0,66406	0,67692	0,64062	0,69531
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,80460	0,78161	0,77711	0,77778	0,78736	0,76970	0,77273	0,74545	0,77273	0,79394	0,74324	0,68992	0,67969	0,66406	0,69531	0,22400	0,70400	0,69231	0,66929	0,68800
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,77586	0,78736	0,77108	0,79444	0,76437	0,76970	0,77841	0,76364	0,76705	0,76970	0,71622	0,70543	0,71094	0,66406	0,66406	0,68800	0,20800	0,69231	0,65354	0,66400
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,75287	0,72989	0,75301	0,75556	0,75287	0,72727	0,74432	0,72121	0,73295	0,73333	0,70270	0,70000	0,69231	0,64615	0,66923	0,67692	0,67692	0,22308	0,65385	0,66923
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,75287	0,77586	0,74699	0,76667	0,75862	0,75758	0,75568	0,73333	0,76136	0,74545	0,69595	0,70543	0,67188	0,61719	0,65625	0,69291	0,66929	0,66923	0,20472	0,66142
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,79310	0,78161	0,77711	0,77778	0,78161	0,76970	0,77841	0,76970	0,76705	0,75152	0,71622	0,71318	0,72656	0,65625	0,70312	0,70400	0,68800	0,69231	0,66142	0,20168
