	LARGE_dtc_experiment_code_PROCESS_py_0_csv	LARGE_dtc_experiment_code_PROCESS_py_10_csv	LARGE_dtc_experiment_code_PROCESS_py_11_csv	LARGE_dtc_experiment_code_PROCESS_py_12_csv	LARGE_dtc_experiment_code_PROCESS_py_13_csv	LARGE_dtc_experiment_code_PROCESS_py_14_csv	LARGE_dtc_experiment_code_PROCESS_py_15_csv	LARGE_dtc_experiment_code_PROCESS_py_16_csv	LARGE_dtc_experiment_code_PROCESS_py_17_csv	LARGE_dtc_experiment_code_PROCESS_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_PROCESS_py_0_csv	0,05854	0,75926	0,75122	0,79452	0,79343	0,76585	0,78537	0,76098	0,77358	0,75122	0,79024	0,81463	0,81463	0,78537	0,80488	0,81463	0,84390	0,78537	0,82439	0,82439
LARGE_dtc_experiment_code_PROCESS_py_10_csv	0,77315	0,06019	0,79630	0,81279	0,78241	0,77315	0,79630	0,76852	0,77778	0,78241	0,80556	0,78704	0,81481	0,81481	0,81944	0,82870	0,85185	0,79167	0,83333	0,82870
LARGE_dtc_experiment_code_PROCESS_py_11_csv	0,78049	0,80093	0,07107	0,77169	0,78404	0,75622	0,78049	0,75635	0,78302	0,78173	0,78680	0,79188	0,81218	0,79695	0,81218	0,79695	0,83756	0,81218	0,82741	0,84264
LARGE_dtc_experiment_code_PROCESS_py_12_csv	0,78995	0,79909	0,76712	0,05479	0,79909	0,79452	0,77626	0,78082	0,80365	0,82192	0,81735	0,80822	0,83105	0,82192	0,82192	0,83562	0,85388	0,81735	0,83562	0,82648
LARGE_dtc_experiment_code_PROCESS_py_13_csv	0,78873	0,77315	0,77465	0,80822	0,05164	0,77934	0,81690	0,81690	0,78404	0,81221	0,79812	0,80751	0,80751	0,81221	0,81221	0,80282	0,84038	0,81221	0,82629	0,82160
LARGE_dtc_experiment_code_PROCESS_py_14_csv	0,77561	0,75463	0,76617	0,78995	0,78873	0,05473	0,78049	0,78607	0,77830	0,79104	0,80597	0,79104	0,82090	0,81095	0,78607	0,81592	0,85572	0,79104	0,80597	0,82090
LARGE_dtc_experiment_code_PROCESS_py_15_csv	0,75122	0,76852	0,76098	0,74429	0,77934	0,75610	0,05854	0,76098	0,78302	0,77561	0,78537	0,79512	0,81951	0,80000	0,82439	0,80000	0,84390	0,80000	0,80976	0,80000
LARGE_dtc_experiment_code_PROCESS_py_16_csv	0,79512	0,75463	0,75127	0,76712	0,81221	0,77114	0,77561	0,05612	0,80660	0,73980	0,81122	0,77551	0,79082	0,80612	0,80612	0,80102	0,81122	0,78061	0,79592	0,79592
LARGE_dtc_experiment_code_PROCESS_py_17_csv	0,79245	0,78241	0,78302	0,77626	0,76526	0,76887	0,80189	0,79717	0,06132	0,77830	0,81132	0,80189	0,82547	0,80189	0,82547	0,82547	0,85377	0,80189	0,82547	0,83019
LARGE_dtc_experiment_code_PROCESS_py_18_csv	0,78049	0,77778	0,81218	0,79452	0,78873	0,75622	0,80488	0,75510	0,79717	0,06633	0,80102	0,78571	0,81122	0,79082	0,80612	0,79592	0,84694	0,78571	0,82653	0,80102
