	LARGE_dtc_experiment_code_PROCESS_py_0_csv	LARGE_dtc_experiment_code_PROCESS_py_10_csv	LARGE_dtc_experiment_code_PROCESS_py_11_csv	LARGE_dtc_experiment_code_PROCESS_py_12_csv	LARGE_dtc_experiment_code_PROCESS_py_13_csv	LARGE_dtc_experiment_code_PROCESS_py_14_csv	LARGE_dtc_experiment_code_PROCESS_py_15_csv	LARGE_dtc_experiment_code_PROCESS_py_16_csv	LARGE_dtc_experiment_code_PROCESS_py_17_csv	LARGE_dtc_experiment_code_PROCESS_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_PROCESS_py_0_csv	0,23834	0,69430	0,71503	0,70707	0,71503	0,70466	0,70103	0,69430	0,70466	0,72021	0,81347	0,84974	0,85492	0,81865	0,84456	0,87565	0,86528	0,83420	0,83420	0,87047
LARGE_dtc_experiment_code_PROCESS_py_10_csv	0,68394	0,22280	0,72021	0,73232	0,70984	0,70984	0,71649	0,69948	0,72539	0,72021	0,82383	0,83420	0,84456	0,82383	0,83420	0,86010	0,87047	0,81865	0,82902	0,85492
LARGE_dtc_experiment_code_PROCESS_py_11_csv	0,70984	0,72539	0,24865	0,70202	0,72539	0,68649	0,71134	0,69730	0,70466	0,71658	0,83243	0,83243	0,84865	0,83784	0,84865	0,86486	0,87568	0,83784	0,82162	0,86486
LARGE_dtc_experiment_code_PROCESS_py_12_csv	0,71717	0,75253	0,70707	0,23737	0,72727	0,69697	0,70202	0,69697	0,71212	0,73737	0,82828	0,84848	0,86364	0,84343	0,84848	0,87374	0,89394	0,84343	0,83333	0,85859
LARGE_dtc_experiment_code_PROCESS_py_13_csv	0,71503	0,72021	0,72539	0,70202	0,24352	0,69948	0,71649	0,70466	0,69430	0,73575	0,80829	0,83938	0,81347	0,84456	0,83420	0,86010	0,83938	0,82902	0,81865	0,85492
LARGE_dtc_experiment_code_PROCESS_py_14_csv	0,70984	0,72539	0,69189	0,71212	0,70466	0,27717	0,71649	0,70652	0,72539	0,72193	0,80978	0,82609	0,84239	0,83696	0,83152	0,86413	0,86957	0,81522	0,81522	0,85870
LARGE_dtc_experiment_code_PROCESS_py_15_csv	0,70103	0,72680	0,72165	0,70202	0,72680	0,72680	0,25773	0,69588	0,71649	0,72165	0,81959	0,82990	0,86082	0,86598	0,86082	0,85052	0,87629	0,84021	0,82990	0,87629
LARGE_dtc_experiment_code_PROCESS_py_16_csv	0,70466	0,72539	0,71892	0,70202	0,73057	0,71196	0,70619	0,23913	0,73057	0,70588	0,83152	0,83152	0,83152	0,84239	0,83696	0,83696	0,86413	0,83152	0,82065	0,85326
LARGE_dtc_experiment_code_PROCESS_py_17_csv	0,71503	0,72021	0,72539	0,71212	0,70466	0,72021	0,72165	0,72021	0,23834	0,73575	0,81865	0,84456	0,87047	0,86010	0,86528	0,87565	0,87047	0,83420	0,83420	0,87047
LARGE_dtc_experiment_code_PROCESS_py_18_csv	0,72021	0,73057	0,73262	0,73737	0,74093	0,71658	0,71134	0,70053	0,72539	0,22995	0,83422	0,85561	0,85561	0,85027	0,84492	0,87166	0,87701	0,82888	0,82353	0,85027
