	LARGE_dtc_experiment_code_TRAIN_py_0_csv	LARGE_dtc_experiment_code_TRAIN_py_10_csv	LARGE_dtc_experiment_code_TRAIN_py_11_csv	LARGE_dtc_experiment_code_TRAIN_py_12_csv	LARGE_dtc_experiment_code_TRAIN_py_13_csv	LARGE_dtc_experiment_code_TRAIN_py_14_csv	LARGE_dtc_experiment_code_TRAIN_py_15_csv	LARGE_dtc_experiment_code_TRAIN_py_16_csv	LARGE_dtc_experiment_code_TRAIN_py_17_csv	LARGE_dtc_experiment_code_TRAIN_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_TRAIN_py_0_csv	0,18062	0,63877	0,64317	0,64758	0,63519	0,64758	0,66520	0,64758	0,66960	0,66245	0,62115	0,68722	0,68282	0,64317	0,67401	0,67841	0,65198	0,63436	0,65639	0,68722
LARGE_dtc_experiment_code_TRAIN_py_10_csv	0,63877	0,16129	0,64055	0,62212	0,66094	0,58065	0,64516	0,61290	0,61290	0,63291	0,60829	0,64977	0,65438	0,62673	0,61751	0,66359	0,60829	0,58986	0,60369	0,63134
LARGE_dtc_experiment_code_TRAIN_py_11_csv	0,64317	0,64055	0,17062	0,61611	0,66953	0,61611	0,64929	0,62963	0,59346	0,66245	0,62085	0,63507	0,60190	0,60664	0,63033	0,64455	0,63981	0,60664	0,63033	0,63033
LARGE_dtc_experiment_code_TRAIN_py_12_csv	0,64758	0,62212	0,61611	0,14904	0,67382	0,58768	0,62019	0,61574	0,62150	0,65401	0,60096	0,63462	0,65385	0,60096	0,58654	0,65865	0,62019	0,61538	0,60096	0,63462
LARGE_dtc_experiment_code_TRAIN_py_13_csv	0,63519	0,66094	0,66953	0,67382	0,19313	0,65665	0,66094	0,63948	0,65236	0,66667	0,63948	0,71674	0,69528	0,66524	0,65665	0,69528	0,67382	0,62661	0,66524	0,67811
LARGE_dtc_experiment_code_TRAIN_py_14_csv	0,64758	0,58065	0,61611	0,58768	0,65665	0,14692	0,61611	0,62500	0,58411	0,60338	0,61137	0,62559	0,66351	0,58294	0,57820	0,63033	0,59716	0,58294	0,61137	0,62559
LARGE_dtc_experiment_code_TRAIN_py_15_csv	0,66520	0,64516	0,64929	0,62019	0,66094	0,61611	0,14423	0,58333	0,63551	0,65823	0,57212	0,64904	0,64904	0,63462	0,62500	0,65865	0,61058	0,61058	0,62500	0,62019
LARGE_dtc_experiment_code_TRAIN_py_16_csv	0,64758	0,61290	0,62963	0,61574	0,63948	0,62500	0,58333	0,18519	0,62963	0,65823	0,62963	0,63889	0,66667	0,62963	0,60185	0,68519	0,67593	0,62963	0,66667	0,68519
LARGE_dtc_experiment_code_TRAIN_py_17_csv	0,66960	0,61290	0,59346	0,62150	0,65236	0,58411	0,63551	0,62963	0,14953	0,64557	0,60280	0,64953	0,64019	0,62150	0,59813	0,62617	0,59813	0,60280	0,59813	0,63084
LARGE_dtc_experiment_code_TRAIN_py_18_csv	0,66245	0,63291	0,66245	0,65401	0,66667	0,60338	0,65823	0,65823	0,64557	0,17722	0,67089	0,68354	0,69620	0,64135	0,65823	0,67089	0,66245	0,63291	0,65823	0,70886
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,62115	0,60829	0,62085	0,60096	0,63948	0,61137	0,57212	0,62963	0,60280	0,67089	0,15104	0,58854	0,59896	0,54688	0,56771	0,59896	0,54167	0,55729	0,58333	0,58333
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,68722	0,64977	0,63507	0,63462	0,71674	0,62559	0,64904	0,63889	0,64953	0,68354	0,58854	0,15508	0,59358	0,57754	0,55080	0,57754	0,58289	0,56684	0,58824	0,60428
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,68282	0,65438	0,60190	0,65385	0,69528	0,66351	0,64904	0,66667	0,64019	0,69620	0,59896	0,59358	0,16000	0,56425	0,57065	0,55932	0,57627	0,57065	0,55682	0,61714
