	LARGE_dtc_experiment_code_TRAIN_py_0_csv	LARGE_dtc_experiment_code_TRAIN_py_10_csv	LARGE_dtc_experiment_code_TRAIN_py_11_csv	LARGE_dtc_experiment_code_TRAIN_py_12_csv	LARGE_dtc_experiment_code_TRAIN_py_13_csv	LARGE_dtc_experiment_code_TRAIN_py_14_csv	LARGE_dtc_experiment_code_TRAIN_py_15_csv	LARGE_dtc_experiment_code_TRAIN_py_16_csv	LARGE_dtc_experiment_code_TRAIN_py_17_csv	LARGE_dtc_experiment_code_TRAIN_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_TRAIN_py_0_csv	0,06098	0,75610	0,75610	0,77236	0,77043	0,76016	0,79675	0,76423	0,79675	0,75581	0,74797	0,76423	0,75203	0,77236	0,78862	0,78862	0,78862	0,76829	0,77642	0,80488
LARGE_dtc_experiment_code_TRAIN_py_10_csv	0,78455	0,05240	0,76856	0,78166	0,77043	0,75546	0,79476	0,75431	0,79476	0,79070	0,75546	0,77293	0,77729	0,76419	0,75546	0,79039	0,79913	0,76856	0,76856	0,79039
LARGE_dtc_experiment_code_TRAIN_py_11_csv	0,78049	0,75109	0,06103	0,74648	0,78599	0,72558	0,77315	0,75862	0,77209	0,77907	0,75117	0,76056	0,74648	0,75587	0,76526	0,75587	0,77934	0,75587	0,73709	0,77465
LARGE_dtc_experiment_code_TRAIN_py_12_csv	0,79675	0,79039	0,75117	0,06250	0,80156	0,74884	0,77778	0,77155	0,80465	0,79845	0,76415	0,77404	0,76442	0,72596	0,76923	0,78365	0,78365	0,76923	0,77404	0,77885
LARGE_dtc_experiment_code_TRAIN_py_13_csv	0,77432	0,81323	0,79767	0,79377	0,06226	0,78210	0,80545	0,78599	0,81712	0,77907	0,78210	0,80156	0,79767	0,80156	0,81323	0,81323	0,83268	0,79377	0,80156	0,82879
LARGE_dtc_experiment_code_TRAIN_py_14_csv	0,80488	0,79476	0,75814	0,74884	0,78599	0,06047	0,78704	0,75862	0,77674	0,79070	0,75814	0,76744	0,77209	0,74419	0,77209	0,79535	0,76744	0,75349	0,75814	0,78140
LARGE_dtc_experiment_code_TRAIN_py_15_csv	0,79675	0,76419	0,76389	0,76852	0,78210	0,78241	0,06944	0,77155	0,79630	0,79845	0,75926	0,75463	0,78241	0,75463	0,78241	0,80556	0,80556	0,78704	0,76389	0,80556
LARGE_dtc_experiment_code_TRAIN_py_16_csv	0,76016	0,77155	0,76724	0,77586	0,78599	0,76293	0,76293	0,06897	0,80172	0,77907	0,77586	0,76724	0,78017	0,74569	0,77586	0,78448	0,80603	0,78017	0,79741	0,79741
LARGE_dtc_experiment_code_TRAIN_py_17_csv	0,81301	0,79039	0,77209	0,76744	0,81323	0,75349	0,80556	0,78017	0,06047	0,79457	0,75349	0,75349	0,78605	0,74884	0,78140	0,80000	0,79535	0,77674	0,75814	0,79070
LARGE_dtc_experiment_code_TRAIN_py_18_csv	0,77132	0,75581	0,77907	0,79070	0,78682	0,75194	0,79845	0,76357	0,80233	0,06589	0,79457	0,78682	0,79070	0,77519	0,79845	0,80233	0,79457	0,77132	0,78295	0,81008
