	LARGE_dtc_experiment_code_TRAIN_py_0_csv	LARGE_dtc_experiment_code_TRAIN_py_10_csv	LARGE_dtc_experiment_code_TRAIN_py_11_csv	LARGE_dtc_experiment_code_TRAIN_py_12_csv	LARGE_dtc_experiment_code_TRAIN_py_13_csv	LARGE_dtc_experiment_code_TRAIN_py_14_csv	LARGE_dtc_experiment_code_TRAIN_py_15_csv	LARGE_dtc_experiment_code_TRAIN_py_16_csv	LARGE_dtc_experiment_code_TRAIN_py_17_csv	LARGE_dtc_experiment_code_TRAIN_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_TRAIN_py_0_csv	0,04721	0,74249	0,75966	0,75107	0,76639	0,75966	0,78112	0,74678	0,78112	0,74699	0,73391	0,74249	0,73820	0,77253	0,77682	0,76824	0,76395	0,74249	0,75536	0,77682
LARGE_dtc_experiment_code_TRAIN_py_10_csv	0,75107	0,06452	0,74654	0,73272	0,74590	0,72350	0,74654	0,73874	0,76959	0,75904	0,73272	0,74194	0,74654	0,75115	0,72811	0,73272	0,74654	0,73272	0,73272	0,76498
LARGE_dtc_experiment_code_TRAIN_py_11_csv	0,75536	0,74654	0,05473	0,72637	0,77869	0,72414	0,75122	0,74775	0,76098	0,77510	0,73632	0,73134	0,73134	0,76617	0,73632	0,73134	0,76617	0,74129	0,72637	0,75622
LARGE_dtc_experiment_code_TRAIN_py_12_csv	0,76395	0,76037	0,73134	0,04545	0,76639	0,71921	0,75122	0,74324	0,77073	0,76305	0,71859	0,73737	0,73737	0,71717	0,73232	0,73737	0,74747	0,73737	0,72727	0,76263
LARGE_dtc_experiment_code_TRAIN_py_13_csv	0,74590	0,79918	0,79098	0,77049	0,05328	0,76639	0,77459	0,77459	0,80328	0,77108	0,75820	0,78279	0,78279	0,79918	0,79508	0,78689	0,81967	0,77459	0,79098	0,81148
LARGE_dtc_experiment_code_TRAIN_py_14_csv	0,77682	0,75115	0,72906	0,68966	0,77049	0,04433	0,74634	0,73423	0,76585	0,76305	0,72414	0,73399	0,75862	0,71921	0,73892	0,75369	0,73892	0,72414	0,73399	0,74877
LARGE_dtc_experiment_code_TRAIN_py_15_csv	0,76395	0,72350	0,75122	0,73171	0,78279	0,76098	0,04878	0,72973	0,76098	0,78313	0,72683	0,72195	0,75122	0,72683	0,74634	0,75610	0,75610	0,74634	0,73659	0,77561
LARGE_dtc_experiment_code_TRAIN_py_16_csv	0,71674	0,73874	0,75225	0,74324	0,77459	0,75225	0,72973	0,05856	0,78378	0,76305	0,73874	0,73423	0,75225	0,73423	0,76126	0,75676	0,78378	0,75225	0,76577	0,76577
LARGE_dtc_experiment_code_TRAIN_py_17_csv	0,77682	0,76037	0,75122	0,73171	0,78279	0,73171	0,75610	0,75225	0,04878	0,77108	0,71707	0,73171	0,74146	0,73171	0,75610	0,75122	0,76098	0,74146	0,73171	0,77561
LARGE_dtc_experiment_code_TRAIN_py_18_csv	0,75502	0,73494	0,78313	0,76707	0,77912	0,75502	0,77510	0,74297	0,79116	0,04819	0,77912	0,76305	0,78715	0,75904	0,78715	0,77912	0,77912	0,75502	0,77108	0,80321
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,74249	0,77880	0,77114	0,72362	0,75820	0,74384	0,77073	0,75225	0,79024	0,79920	0,06030	0,71859	0,75377	0,74874	0,73869	0,75879	0,74874	0,72864	0,72864	0,75879
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,76824	0,77419	0,75124	0,75758	0,79508	0,75862	0,74634	0,77027	0,76098	0,77912	0,73869	0,05085	0,70056	0,70056	0,71751	0,70056	0,75141	0,71186	0,71751	0,72316
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,73391	0,76037	0,74129	0,74242	0,77869	0,77340	0,75610	0,75676	0,77561	0,76707	0,71859	0,63842	0,05650	0,69492	0,70056	0,70621	0,73446	0,74011	0,68927	0,74576
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,76395	0,78341	0,75622	0,72727	0,79098	0,75369	0,75610	0,76577	0,78537	0,77108	0,71859	0,71186	0,69492	0,05422	0,72455	0,65663	0,72892	0,69048	0,71084	0,71687
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,78970	0,74654	0,75124	0,76768	0,78279	0,73892	0,75610	0,75676	0,78537	0,78313	0,72362	0,71751	0,71751	0,69461	0,06587	0,70060	0,71257	0,70238	0,67066	0,71856
