	LARGE_dtc_experiment_code_TRAIN_py_0_csv	LARGE_dtc_experiment_code_TRAIN_py_10_csv	LARGE_dtc_experiment_code_TRAIN_py_11_csv	LARGE_dtc_experiment_code_TRAIN_py_12_csv	LARGE_dtc_experiment_code_TRAIN_py_13_csv	LARGE_dtc_experiment_code_TRAIN_py_14_csv	LARGE_dtc_experiment_code_TRAIN_py_15_csv	LARGE_dtc_experiment_code_TRAIN_py_16_csv	LARGE_dtc_experiment_code_TRAIN_py_17_csv	LARGE_dtc_experiment_code_TRAIN_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_TRAIN_py_0_csv	0,24571	0,72000	0,73143	0,72571	0,73077	0,75429	0,74857	0,73143	0,71429	0,73684	0,72571	0,76000	0,74857	0,72000	0,76571	0,76571	0,74857	0,74286	0,73714	0,74286
LARGE_dtc_experiment_code_TRAIN_py_10_csv	0,74286	0,21557	0,72455	0,71856	0,74176	0,70659	0,70659	0,73653	0,71257	0,73684	0,73653	0,76048	0,76048	0,71856	0,75449	0,75449	0,74850	0,73653	0,73054	0,74251
LARGE_dtc_experiment_code_TRAIN_py_11_csv	0,73714	0,71257	0,22293	0,70701	0,74725	0,71975	0,71519	0,71687	0,68125	0,75263	0,73248	0,72611	0,73885	0,71975	0,73248	0,73885	0,75159	0,71975	0,71975	0,74522
LARGE_dtc_experiment_code_TRAIN_py_12_csv	0,73143	0,70060	0,70701	0,22078	0,73077	0,67742	0,72785	0,72289	0,72500	0,74211	0,70779	0,75974	0,74026	0,69481	0,74026	0,72727	0,75325	0,72078	0,72078	0,73377
LARGE_dtc_experiment_code_TRAIN_py_13_csv	0,73626	0,72527	0,76374	0,73077	0,21978	0,73077	0,74176	0,74725	0,75824	0,73158	0,74176	0,78571	0,78571	0,74176	0,78571	0,78571	0,79121	0,75824	0,75824	0,77473
LARGE_dtc_experiment_code_TRAIN_py_14_csv	0,74857	0,67665	0,71975	0,67097	0,73077	0,21290	0,72152	0,72289	0,70625	0,71579	0,72258	0,72903	0,74839	0,70323	0,73548	0,73548	0,74839	0,70968	0,71613	0,72258
LARGE_dtc_experiment_code_TRAIN_py_15_csv	0,76571	0,69461	0,72152	0,72785	0,74176	0,72785	0,21519	0,69277	0,71875	0,74737	0,73418	0,74684	0,75316	0,72152	0,73418	0,75949	0,74684	0,73418	0,73418	0,74051
LARGE_dtc_experiment_code_TRAIN_py_16_csv	0,74286	0,70659	0,72289	0,72892	0,74725	0,72892	0,68675	0,21084	0,72289	0,74211	0,74096	0,75301	0,75301	0,73494	0,76506	0,77108	0,77711	0,75301	0,74096	0,77711
LARGE_dtc_experiment_code_TRAIN_py_17_csv	0,73143	0,69461	0,68125	0,72500	0,75275	0,70625	0,71875	0,72892	0,21250	0,73684	0,71875	0,74375	0,73125	0,71875	0,72500	0,72500	0,73750	0,70625	0,71250	0,73750
LARGE_dtc_experiment_code_TRAIN_py_18_csv	0,74737	0,72105	0,75263	0,74737	0,74211	0,72105	0,75789	0,74737	0,73684	0,23158	0,75263	0,78421	0,77368	0,76316	0,77895	0,78421	0,76842	0,74211	0,74211	0,78421
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,73714	0,72455	0,73885	0,70130	0,74176	0,72903	0,72785	0,72892	0,71250	0,74211	0,24324	0,72297	0,72973	0,69595	0,71622	0,72973	0,70946	0,69595	0,68243	0,70946
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,76571	0,75449	0,73248	0,75325	0,78571	0,74839	0,74051	0,74096	0,73125	0,77368	0,71622	0,22481	0,66667	0,68217	0,69767	0,69767	0,69767	0,70000	0,68217	0,70543
