	LARGE_dtc_experiment_code_TRAIN_py_0_csv	LARGE_dtc_experiment_code_TRAIN_py_10_csv	LARGE_dtc_experiment_code_TRAIN_py_11_csv	LARGE_dtc_experiment_code_TRAIN_py_12_csv	LARGE_dtc_experiment_code_TRAIN_py_13_csv	LARGE_dtc_experiment_code_TRAIN_py_14_csv	LARGE_dtc_experiment_code_TRAIN_py_15_csv	LARGE_dtc_experiment_code_TRAIN_py_16_csv	LARGE_dtc_experiment_code_TRAIN_py_17_csv	LARGE_dtc_experiment_code_TRAIN_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_TRAIN_py_0_csv	0,05069	0,78341	0,81106	0,82028	0,80087	0,80184	0,81106	0,77880	0,83410	0,79310	0,78341	0,80645	0,78341	0,82028	0,82949	0,82488	0,81567	0,77880	0,83410	0,82949
LARGE_dtc_experiment_code_TRAIN_py_10_csv	0,79724	0,05911	0,80296	0,80296	0,79654	0,76847	0,79310	0,78261	0,80788	0,84052	0,77340	0,81281	0,81281	0,79310	0,79803	0,78325	0,80788	0,78818	0,79803	0,81773
LARGE_dtc_experiment_code_TRAIN_py_11_csv	0,81106	0,79803	0,06011	0,78689	0,83117	0,77368	0,79581	0,78744	0,77368	0,83190	0,80000	0,77049	0,77049	0,81421	0,79235	0,76503	0,81967	0,77049	0,77596	0,80328
LARGE_dtc_experiment_code_TRAIN_py_12_csv	0,81567	0,82266	0,80328	0,05000	0,82684	0,76842	0,81152	0,80193	0,81053	0,81466	0,77838	0,79444	0,79444	0,78889	0,80556	0,77778	0,81667	0,80556	0,80000	0,82222
LARGE_dtc_experiment_code_TRAIN_py_13_csv	0,80519	0,83550	0,83983	0,84848	0,05628	0,80087	0,82684	0,82684	0,83983	0,83621	0,81385	0,83550	0,84416	0,83983	0,84416	0,83983	0,88312	0,81385	0,84848	0,84848
LARGE_dtc_experiment_code_TRAIN_py_14_csv	0,80645	0,78325	0,77895	0,77368	0,80087	0,04211	0,78010	0,78261	0,79474	0,79310	0,77895	0,78421	0,82105	0,77895	0,80526	0,80000	0,82105	0,78421	0,78421	0,80000
LARGE_dtc_experiment_code_TRAIN_py_15_csv	0,82488	0,76847	0,78534	0,78534	0,81385	0,80105	0,05759	0,75845	0,79058	0,81897	0,78534	0,77487	0,81675	0,78534	0,81675	0,81675	0,82199	0,79058	0,81152	0,82723
LARGE_dtc_experiment_code_TRAIN_py_16_csv	0,77880	0,80193	0,80193	0,81643	0,82251	0,79710	0,77295	0,05797	0,82609	0,81897	0,79710	0,81643	0,81159	0,80193	0,83092	0,82126	0,85507	0,80193	0,83092	0,83575
LARGE_dtc_experiment_code_TRAIN_py_17_csv	0,81106	0,80296	0,81579	0,78421	0,82684	0,76842	0,80105	0,80193	0,06316	0,81466	0,80000	0,78947	0,80526	0,77368	0,82105	0,79474	0,82105	0,81053	0,81579	0,81579
LARGE_dtc_experiment_code_TRAIN_py_18_csv	0,80603	0,80172	0,82759	0,82328	0,81897	0,77155	0,82328	0,80603	0,82328	0,05172	0,82759	0,83621	0,81897	0,81034	0,84052	0,82759	0,83621	0,80603	0,82759	0,83621
