	LARGE_dtc_experiment_code_TRAIN_py_0_csv	LARGE_dtc_experiment_code_TRAIN_py_10_csv	LARGE_dtc_experiment_code_TRAIN_py_11_csv	LARGE_dtc_experiment_code_TRAIN_py_12_csv	LARGE_dtc_experiment_code_TRAIN_py_13_csv	LARGE_dtc_experiment_code_TRAIN_py_14_csv	LARGE_dtc_experiment_code_TRAIN_py_15_csv	LARGE_dtc_experiment_code_TRAIN_py_16_csv	LARGE_dtc_experiment_code_TRAIN_py_17_csv	LARGE_dtc_experiment_code_TRAIN_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_TRAIN_py_0_csv	0,28272	0,75916	0,78534	0,76963	0,76650	0,79581	0,79058	0,79581	0,78010	0,76733	0,75916	0,80628	0,79058	0,76440	0,82199	0,81675	0,80105	0,78534	0,78534	0,76440
LARGE_dtc_experiment_code_TRAIN_py_10_csv	0,79058	0,26923	0,77473	0,78022	0,78173	0,77473	0,75275	0,80328	0,77473	0,78218	0,79121	0,80220	0,79121	0,78571	0,79670	0,80769	0,80769	0,80220	0,79670	0,80769
LARGE_dtc_experiment_code_TRAIN_py_11_csv	0,78010	0,76374	0,26136	0,76705	0,78173	0,77273	0,76705	0,77049	0,75568	0,78218	0,77841	0,78409	0,80114	0,77841	0,79545	0,80682	0,81250	0,77273	0,77273	0,80114
LARGE_dtc_experiment_code_TRAIN_py_12_csv	0,78534	0,76374	0,76705	0,27059	0,77157	0,75000	0,77907	0,77596	0,79191	0,78713	0,77059	0,80000	0,78235	0,75882	0,78824	0,78235	0,82353	0,78235	0,77647	0,81176
LARGE_dtc_experiment_code_TRAIN_py_13_csv	0,77665	0,76142	0,80711	0,77157	0,24365	0,76142	0,77665	0,80203	0,82741	0,75743	0,77665	0,83249	0,82741	0,77665	0,82234	0,83249	0,82741	0,79695	0,80203	0,80711
LARGE_dtc_experiment_code_TRAIN_py_14_csv	0,79581	0,74725	0,77841	0,74419	0,78173	0,26744	0,76163	0,79235	0,76301	0,75248	0,78488	0,77326	0,79651	0,77326	0,77326	0,79651	0,80233	0,76744	0,77907	0,79651
LARGE_dtc_experiment_code_TRAIN_py_15_csv	0,79581	0,74176	0,77841	0,77326	0,77665	0,76744	0,24419	0,77596	0,77457	0,78218	0,77907	0,79070	0,79070	0,77907	0,77326	0,80233	0,79070	0,77907	0,79070	0,79651
LARGE_dtc_experiment_code_TRAIN_py_16_csv	0,79058	0,76503	0,77049	0,78142	0,79188	0,78689	0,74317	0,24590	0,78689	0,77723	0,77596	0,80328	0,80328	0,78689	0,80874	0,83060	0,84153	0,79781	0,78689	0,82514
LARGE_dtc_experiment_code_TRAIN_py_17_csv	0,78010	0,74725	0,74432	0,78035	0,79695	0,75723	0,76301	0,79235	0,25434	0,77228	0,76879	0,78035	0,78035	0,78613	0,78035	0,78035	0,78035	0,75723	0,77457	0,79769
LARGE_dtc_experiment_code_TRAIN_py_18_csv	0,77228	0,74752	0,79703	0,78218	0,76238	0,75743	0,80198	0,79703	0,78713	0,24257	0,78713	0,82673	0,80693	0,79703	0,81683	0,82673	0,81188	0,77228	0,78218	0,82673
