	LARGE_dtc_experiment_code_TRAIN_py_0_csv	LARGE_dtc_experiment_code_TRAIN_py_10_csv	LARGE_dtc_experiment_code_TRAIN_py_11_csv	LARGE_dtc_experiment_code_TRAIN_py_12_csv	LARGE_dtc_experiment_code_TRAIN_py_13_csv	LARGE_dtc_experiment_code_TRAIN_py_14_csv	LARGE_dtc_experiment_code_TRAIN_py_15_csv	LARGE_dtc_experiment_code_TRAIN_py_16_csv	LARGE_dtc_experiment_code_TRAIN_py_17_csv	LARGE_dtc_experiment_code_TRAIN_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_TRAIN_py_0_csv	0,07048	0,79736	0,82379	0,83700	0,80579	0,80617	0,84141	0,80176	0,84581	0,80591	0,79295	0,81057	0,80176	0,81498	0,84581	0,85903	0,83700	0,81498	0,84581	0,85903
LARGE_dtc_experiment_code_TRAIN_py_10_csv	0,83260	0,06103	0,81690	0,81690	0,80992	0,78404	0,83099	0,79812	0,83099	0,85654	0,79343	0,80751	0,82629	0,79812	0,82160	0,82629	0,83099	0,83099	0,81221	0,82160
LARGE_dtc_experiment_code_TRAIN_py_11_csv	0,84141	0,80282	0,07368	0,80526	0,85124	0,78000	0,82234	0,81690	0,81218	0,85232	0,82741	0,81579	0,81053	0,81579	0,82105	0,79474	0,82632	0,82105	0,79474	0,82105
LARGE_dtc_experiment_code_TRAIN_py_12_csv	0,84141	0,82629	0,80000	0,06316	0,83884	0,77500	0,81726	0,81221	0,82741	0,83122	0,78173	0,80000	0,81579	0,78421	0,83684	0,81053	0,83158	0,83684	0,82105	0,82632
LARGE_dtc_experiment_code_TRAIN_py_13_csv	0,83884	0,84711	0,85124	0,86364	0,06612	0,82645	0,85950	0,84298	0,85124	0,83884	0,83058	0,84298	0,85950	0,84298	0,86364	0,85124	0,88017	0,84298	0,86364	0,87603
LARGE_dtc_experiment_code_TRAIN_py_14_csv	0,83260	0,81221	0,80500	0,78500	0,81818	0,06000	0,82500	0,79343	0,79500	0,81435	0,81000	0,78500	0,82500	0,78500	0,81500	0,82000	0,83000	0,82000	0,80500	0,81500
LARGE_dtc_experiment_code_TRAIN_py_15_csv	0,86344	0,81221	0,81726	0,81218	0,83058	0,81000	0,07107	0,79812	0,81726	0,83544	0,80203	0,81726	0,83756	0,78680	0,83249	0,85279	0,84264	0,83249	0,83756	0,84772
LARGE_dtc_experiment_code_TRAIN_py_16_csv	0,83260	0,82629	0,82629	0,82160	0,82645	0,80751	0,82160	0,07512	0,84507	0,83122	0,82629	0,83568	0,83568	0,80751	0,84038	0,84507	0,85915	0,83099	0,85915	0,85446
LARGE_dtc_experiment_code_TRAIN_py_17_csv	0,86784	0,82629	0,84772	0,81726	0,84298	0,80000	0,84772	0,82160	0,06599	0,83966	0,82234	0,81218	0,84772	0,78173	0,84772	0,83756	0,83756	0,83756	0,83249	0,81726
LARGE_dtc_experiment_code_TRAIN_py_18_csv	0,84388	0,82278	0,83122	0,83122	0,83058	0,77215	0,85654	0,83966	0,84388	0,07595	0,83544	0,84810	0,83122	0,82700	0,85654	0,83966	0,85232	0,82278	0,83966	0,84810
