	LARGE_dtc_experiment_code_PROCESS_py_0_csv	LARGE_dtc_experiment_code_PROCESS_py_10_csv	LARGE_dtc_experiment_code_PROCESS_py_11_csv	LARGE_dtc_experiment_code_PROCESS_py_12_csv	LARGE_dtc_experiment_code_PROCESS_py_13_csv	LARGE_dtc_experiment_code_PROCESS_py_14_csv	LARGE_dtc_experiment_code_PROCESS_py_15_csv	LARGE_dtc_experiment_code_PROCESS_py_16_csv	LARGE_dtc_experiment_code_PROCESS_py_17_csv	LARGE_dtc_experiment_code_PROCESS_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_PROCESS_py_0_csv	0,10511	0,66216	0,65819	0,62240	0,64754	0,68182	0,63859	0,64986	0,66485	0,64124	0,76705	0,80966	0,81818	0,82955	0,80398	0,82102	0,80966	0,79545	0,81534	0,79830
LARGE_dtc_experiment_code_PROCESS_py_10_csv	0,66216	0,13514	0,65405	0,66667	0,62162	0,67838	0,61892	0,62703	0,63514	0,63243	0,75676	0,77297	0,81081	0,79459	0,78108	0,81081	0,78108	0,78108	0,80811	0,76486
LARGE_dtc_experiment_code_PROCESS_py_11_csv	0,65819	0,65405	0,14972	0,63802	0,65574	0,67232	0,62772	0,63585	0,66213	0,63277	0,76836	0,79944	0,82768	0,78814	0,80226	0,79944	0,80791	0,78814	0,82768	0,79944
LARGE_dtc_experiment_code_PROCESS_py_12_csv	0,62240	0,66667	0,63802	0,12760	0,61719	0,66927	0,59375	0,62240	0,61979	0,61719	0,72135	0,77865	0,78646	0,76823	0,75781	0,78385	0,75781	0,77344	0,79948	0,77865
LARGE_dtc_experiment_code_PROCESS_py_13_csv	0,64754	0,62162	0,65574	0,61719	0,12568	0,66667	0,60054	0,61202	0,62943	0,63388	0,75956	0,79235	0,80055	0,78415	0,78689	0,79508	0,78689	0,78142	0,80328	0,76230
LARGE_dtc_experiment_code_PROCESS_py_14_csv	0,68182	0,67838	0,67232	0,66927	0,66667	0,13081	0,64130	0,66106	0,67575	0,63842	0,78779	0,81395	0,84593	0,84302	0,80233	0,84593	0,81395	0,80814	0,84012	0,79070
LARGE_dtc_experiment_code_PROCESS_py_15_csv	0,63859	0,61892	0,62772	0,59375	0,60054	0,64130	0,11685	0,62228	0,62500	0,61957	0,73641	0,75543	0,79620	0,77717	0,77446	0,77989	0,77446	0,76630	0,78261	0,77989
LARGE_dtc_experiment_code_PROCESS_py_16_csv	0,64986	0,62703	0,63585	0,62240	0,61202	0,66106	0,62228	0,13725	0,62398	0,62745	0,74230	0,80112	0,78711	0,78431	0,78431	0,79832	0,79832	0,78431	0,80952	0,78992
LARGE_dtc_experiment_code_PROCESS_py_17_csv	0,66485	0,63514	0,66213	0,61979	0,62943	0,67575	0,62500	0,62398	0,13079	0,66757	0,75477	0,80381	0,80926	0,81744	0,78474	0,78747	0,79292	0,77929	0,79292	0,76839
LARGE_dtc_experiment_code_PROCESS_py_18_csv	0,64124	0,63243	0,63277	0,61719	0,63388	0,63842	0,61957	0,62745	0,66757	0,12712	0,74011	0,77684	0,79944	0,77401	0,77684	0,79944	0,80226	0,75989	0,79944	0,76836
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,76705	0,75676	0,76836	0,72135	0,75956	0,78779	0,73641	0,74230	0,75477	0,74011	0,25685	0,87671	0,92466	0,90753	0,88356	0,90411	0,89384	0,87671	0,91781	0,87329
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,80966	0,77297	0,79944	0,77865	0,79235	0,81395	0,75543	0,80112	0,80381	0,77684	0,87671	0,25182	0,95255	0,91606	0,90146	0,93066	0,92701	0,90876	0,94526	0,89781
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,81818	0,81081	0,82768	0,78646	0,80055	0,84593	0,79620	0,78711	0,80926	0,79944	0,92466	0,95255	0,28854	0,95455	0,95588	0,96887	0,92664	0,94505	0,98431	0,91440
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,82955	0,79459	0,78814	0,76823	0,78415	0,84302	0,77717	0,78431	0,81744	0,77401	0,90753	0,91606	0,95455	0,26136	0,92647	0,95833	0,95076	0,93773	0,96212	0,91288
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,80398	0,78108	0,80226	0,75781	0,78689	0,80233	0,77446	0,78431	0,78474	0,77684	0,88356	0,90146	0,95588	0,92647	0,24632	0,94118	0,94485	0,92308	0,93015	0,89706
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,82102	0,81081	0,79944	0,78385	0,79508	0,84593	0,77989	0,79832	0,78747	0,79944	0,90411	0,93066	0,96887	0,95833	0,94118	0,28794	0,93822	0,94139	0,96887	0,92996
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,80966	0,78108	0,80791	0,75781	0,78689	0,81395	0,77446	0,79832	0,79292	0,80226	0,89384	0,92701	0,92664	0,95076	0,94485	0,93822	0,26255	0,94872	0,95367	0,92278
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,79545	0,78108	0,78814	0,77344	0,78142	0,80814	0,76630	0,78431	0,77929	0,75989	0,87671	0,90876	0,94505	0,93773	0,92308	0,94139	0,94872	0,23443	0,94505	0,86447
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,81534	0,80811	0,82768	0,79948	0,80328	0,84012	0,78261	0,80952	0,79292	0,79944	0,91781	0,94526	0,98431	0,96212	0,93015	0,96887	0,95367	0,94505	0,30196	0,93385
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,79830	0,76486	0,79944	0,77865	0,76230	0,79070	0,77989	0,78992	0,76839	0,76836	0,87329	0,89781	0,91440	0,91288	0,89706	0,92996	0,92278	0,86447	0,93385	0,24125
