	LARGE_dtc_experiment_code_PROCESS_py_0_csv	LARGE_dtc_experiment_code_PROCESS_py_10_csv	LARGE_dtc_experiment_code_PROCESS_py_11_csv	LARGE_dtc_experiment_code_PROCESS_py_12_csv	LARGE_dtc_experiment_code_PROCESS_py_13_csv	LARGE_dtc_experiment_code_PROCESS_py_14_csv	LARGE_dtc_experiment_code_PROCESS_py_15_csv	LARGE_dtc_experiment_code_PROCESS_py_16_csv	LARGE_dtc_experiment_code_PROCESS_py_17_csv	LARGE_dtc_experiment_code_PROCESS_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_PROCESS_py_0_csv	0,05469	0,91016	0,91016	0,91120	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016
LARGE_dtc_experiment_code_PROCESS_py_10_csv	0,91016	0,05469	0,91016	0,91120	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016	0,91016
LARGE_dtc_experiment_code_PROCESS_py_11_csv	0,91016	0,91016	0,04979	0,91120	0,90909	0,90496	0,90800	0,90456	0,90945	0,90496	0,90456	0,90456	0,90456	0,90456	0,90456	0,90456	0,90456	0,90456	0,90456	0,90456
LARGE_dtc_experiment_code_PROCESS_py_12_csv	0,91120	0,91120	0,91120	0,04633	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120	0,91120
LARGE_dtc_experiment_code_PROCESS_py_13_csv	0,91016	0,91016	0,90909	0,91120	0,04743	0,90909	0,90909	0,90909	0,90945	0,90909	0,90909	0,90909	0,90909	0,90909	0,90909	0,90909	0,90909	0,90909	0,90909	0,90909
LARGE_dtc_experiment_code_PROCESS_py_14_csv	0,91016	0,91016	0,90496	0,91120	0,90909	0,04959	0,90800	0,90496	0,90945	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496
LARGE_dtc_experiment_code_PROCESS_py_15_csv	0,91016	0,91016	0,90800	0,91120	0,90909	0,90800	0,04400	0,90800	0,90945	0,90800	0,90800	0,90800	0,90800	0,90800	0,90800	0,90800	0,90800	0,90800	0,90800	0,90800
LARGE_dtc_experiment_code_PROCESS_py_16_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,04603	0,90945	0,90496	0,90377	0,90377	0,90377	0,90377	0,90377	0,90377	0,90377	0,90377	0,90377	0,90377
LARGE_dtc_experiment_code_PROCESS_py_17_csv	0,91016	0,91016	0,90945	0,91120	0,90945	0,90945	0,90945	0,90945	0,05118	0,90945	0,90945	0,90945	0,90945	0,90945	0,90945	0,90945	0,90945	0,90945	0,90945	0,90945
LARGE_dtc_experiment_code_PROCESS_py_18_csv	0,91016	0,91016	0,90496	0,91120	0,90909	0,90496	0,90800	0,90496	0,90945	0,04959	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496	0,90496
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,90377	0,90945	0,90496	0,05532	0,90213	0,90213	0,90213	0,90213	0,90213	0,90213	0,90213	0,90213	0,90213
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,90377	0,90945	0,90496	0,90213	0,05189	0,89151	0,89151	0,89151	0,89151	0,89151	0,89151	0,89151	0,89151
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,90377	0,90945	0,90496	0,90213	0,89151	0,04762	0,87143	0,89048	0,89048	0,89048	0,89048	0,89048	0,89048
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,90377	0,90945	0,90496	0,90213	0,89151	0,87143	0,04523	0,88725	0,88442	0,88442	0,88557	0,86935	0,88442
LARGE_dtc_experiment_code_CONTROL_py_13_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,90377	0,90945	0,90496	0,90213	0,89151	0,89048	0,88725	0,03922	0,88725	0,88725	0,88725	0,88725	0,88725
LARGE_dtc_experiment_code_CONTROL_py_14_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,90377	0,90945	0,90496	0,90213	0,89151	0,89048	0,88442	0,88725	0,04040	0,88384	0,88557	0,88442	0,88384
LARGE_dtc_experiment_code_CONTROL_py_15_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,90377	0,90945	0,90496	0,90213	0,89151	0,89048	0,88442	0,88725	0,88384	0,05181	0,88557	0,88442	0,88083
LARGE_dtc_experiment_code_CONTROL_py_16_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,90377	0,90945	0,90496	0,90213	0,89151	0,89048	0,88557	0,88725	0,88557	0,88557	0,04975	0,88557	0,88557
LARGE_dtc_experiment_code_CONTROL_py_17_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,90377	0,90945	0,90496	0,90213	0,89151	0,89048	0,86935	0,88725	0,88442	0,88442	0,88557	0,05025	0,88442
LARGE_dtc_experiment_code_CONTROL_py_18_csv	0,91016	0,91016	0,90456	0,91120	0,90909	0,90496	0,90800	0,90377	0,90945	0,90496	0,90213	0,89151	0,89048	0,88442	0,88725	0,88384	0,88083	0,88557	0,88442	0,04762
