	LARGE_dtc_experiment_code_PROCESS_py_0_csv	LARGE_dtc_experiment_code_PROCESS_py_10_csv	LARGE_dtc_experiment_code_PROCESS_py_11_csv	LARGE_dtc_experiment_code_PROCESS_py_12_csv	LARGE_dtc_experiment_code_PROCESS_py_13_csv	LARGE_dtc_experiment_code_PROCESS_py_14_csv	LARGE_dtc_experiment_code_PROCESS_py_15_csv	LARGE_dtc_experiment_code_PROCESS_py_16_csv	LARGE_dtc_experiment_code_PROCESS_py_17_csv	LARGE_dtc_experiment_code_PROCESS_py_18_csv	LARGE_dtc_experiment_code_CONTROL_py_0_csv	LARGE_dtc_experiment_code_CONTROL_py_10_csv	LARGE_dtc_experiment_code_CONTROL_py_11_csv	LARGE_dtc_experiment_code_CONTROL_py_12_csv	LARGE_dtc_experiment_code_CONTROL_py_13_csv	LARGE_dtc_experiment_code_CONTROL_py_14_csv	LARGE_dtc_experiment_code_CONTROL_py_15_csv	LARGE_dtc_experiment_code_CONTROL_py_16_csv	LARGE_dtc_experiment_code_CONTROL_py_17_csv	LARGE_dtc_experiment_code_CONTROL_py_18_csv
LARGE_dtc_experiment_code_PROCESS_py_0_csv	0,06604	0,77027	0,77830	0,80000	0,79358	0,78774	0,80660	0,79245	0,77982	0,79245	0,82075	0,83962	0,83019	0,79717	0,83019	0,83491	0,84434	0,81604	0,83019	0,84906
LARGE_dtc_experiment_code_PROCESS_py_10_csv	0,79279	0,06757	0,81532	0,82222	0,79730	0,79730	0,81081	0,79730	0,78378	0,80631	0,83784	0,81532	0,84685	0,80631	0,83784	0,84685	0,84685	0,80631	0,83784	0,84685
LARGE_dtc_experiment_code_PROCESS_py_11_csv	0,79717	0,81532	0,06897	0,79556	0,79817	0,77670	0,80000	0,78818	0,78899	0,79310	0,81281	0,79803	0,83251	0,78818	0,83744	0,82759	0,84729	0,84236	0,82759	0,85222
LARGE_dtc_experiment_code_PROCESS_py_12_csv	0,80444	0,81778	0,78222	0,06222	0,81778	0,81333	0,78222	0,80889	0,80889	0,85333	0,84444	0,81333	0,84444	0,82222	0,83556	0,85778	0,84444	0,83556	0,84444	0,84444
LARGE_dtc_experiment_code_PROCESS_py_13_csv	0,80734	0,78378	0,78899	0,83111	0,06422	0,79817	0,83945	0,83028	0,79358	0,83028	0,82569	0,82569	0,83486	0,82110	0,83486	0,83486	0,85321	0,83486	0,83945	0,84862
LARGE_dtc_experiment_code_PROCESS_py_14_csv	0,78774	0,77027	0,79126	0,80000	0,81193	0,06311	0,79524	0,80583	0,77982	0,79612	0,83495	0,80097	0,83981	0,81553	0,80097	0,84951	0,84466	0,82039	0,81068	0,83495
LARGE_dtc_experiment_code_PROCESS_py_15_csv	0,76887	0,78378	0,77143	0,75556	0,77982	0,77619	0,06190	0,77619	0,78440	0,80952	0,82381	0,80952	0,83810	0,80000	0,83333	0,81905	0,84286	0,84286	0,81429	0,81429
LARGE_dtc_experiment_code_PROCESS_py_16_csv	0,81132	0,76577	0,78818	0,77333	0,82569	0,78641	0,79048	0,06000	0,80275	0,77500	0,82000	0,80000	0,81000	0,81500	0,83500	0,83500	0,81500	0,80000	0,79500	0,83000
LARGE_dtc_experiment_code_PROCESS_py_17_csv	0,78440	0,77477	0,78440	0,77333	0,77982	0,77982	0,79817	0,81651	0,05963	0,79817	0,82569	0,83028	0,83486	0,81193	0,83945	0,85321	0,85780	0,82569	0,82569	0,83486
LARGE_dtc_experiment_code_PROCESS_py_18_csv	0,81604	0,80180	0,83744	0,81778	0,80275	0,79126	0,82381	0,79000	0,81193	0,07500	0,82500	0,83000	0,84000	0,81000	0,84000	0,83500	0,86000	0,82000	0,84000	0,83500
LARGE_dtc_experiment_code_CONTROL_py_0_csv	0,84906	0,83784	0,84236	0,84889	0,84404	0,82039	0,87143	0,84000	0,83486	0,85500	0,07614	0,80711	0,82741	0,82234	0,83249	0,79695	0,82234	0,81218	0,83249	0,80203
LARGE_dtc_experiment_code_CONTROL_py_10_csv	0,86792	0,86036	0,83251	0,82667	0,84862	0,81068	0,87143	0,84000	0,85780	0,85500	0,82741	0,10000	0,78235	0,77647	0,80588	0,79412	0,84118	0,77647	0,82941	0,83529
LARGE_dtc_experiment_code_CONTROL_py_11_csv	0,84434	0,84234	0,83744	0,82222	0,83486	0,83010	0,87619	0,82000	0,86239	0,82500	0,80203	0,70000	0,10119	0,74405	0,76190	0,80357	0,81548	0,82738	0,75000	0,80357
LARGE_dtc_experiment_code_CONTROL_py_12_csv	0,82075	0,81982	0,81773	0,84444	0,83945	0,82039	0,84762	0,83000	0,86239	0,84000	0,79695	0,77059	0,77381	0,07595	0,78049	0,70370	0,80380	0,77019	0,78481	0,70253
